Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
Jarred Vanderbilt,UTA,UTA vs. POR,12/03/2022,L,32,126.9,121.2,5.7,17.4,4.00,30.8,0.0,24.1,12.3,7.7,100,100,12.5,100.91
Thanasis Antetokounmpo,MIL,MIL @ CHA,12/03/2022,W,18,115.0,95.1,19.9,0.0,0.00,0.0,0.0,15.0,8.8,40.0,33.3,33.3,11.4,108.67
Kelly Oubre Jr.,CHA,CHA vs. MIL,12/03/2022,L,39,94.1,89.5,4.6,0.0,0.00,0.0,0.0,5.1,2.4,4.8,32.1,51.9,22.6,104.34
P.J. Washington,CHA,CHA vs. MIL,12/03/2022,L,33,91.9,98.6,-6.8,20.0,1.67,23.8,2.6,21.2,11.3,14.3,0.0,0.0,19.8,107.58
Kai Jones,CHA,CHA vs. MIL,12/03/2022,L,15,87.5,103.2,-15.7,11.1,1.00,33.3,6.3,15.4,10.3,33.3,0.0,0.0,5.6,100.91
Mason Plumlee,CHA,CHA vs. MIL,12/03/2022,L,30,97.1,94.1,2.9,16.7,3.00,23.1,12.1,21.9,16.9,7.7,66.7,68.9,13.5,107.78
Moussa Diabate,LAC,LAC vs. SAC,12/03/2022,L,19,102.3,136.4,-34.1,0.0,0.00,0.0,9.1,16.7,12.5,60.0,100,106.4,9.6,112.80
Domantas Sabonis,SAC,SAC @ LAC,12/03/2022,W,26,137.3,73.1,64.2,37.5,3.00,31.6,8.7,8.8,8.8,10.5,100,97.4,23.6,94.41
Ivica Zubac,LAC,LAC vs. SAC,12/03/2022,L,27,94.3,113.0,-18.6,7.7,1.00,10.0,13.9,37.0,23.8,10.0,83.3,83.8,13.4,94.84
Harrison Barnes,SAC,SAC @ LAC,12/03/2022,W,26,125.0,78.0,47.0,10.0,2.00,18.2,0.0,15.2,8.6,9.1,75.0,61.0,15.5,94.52
Keegan Murray,SAC,SAC @ LAC,12/03/2022,W,28,120.7,78.9,41.7,6.3,1.00,5.3,4.0,16.2,11.3,5.3,63.3,66.9,29.0,98.45
Alex Len,SAC,SAC @ LAC,12/03/2022,W,4,88.9,112.5,-23.6,0.0,0.00,0.0,0.0,0.0,0.0,0.0,50.0,50.0,22.2,116.02
John Wall,LAC,LAC vs. SAC,12/03/2022,L,12,96.3,133.3,-37.0,16.7,0.50,9.1,0.0,0.0,0.0,18.2,58.3,73.2,31.3,106.06
Kevin Huerter,SAC,SAC @ LAC,12/03/2022,W,30,126.7,93.1,33.6,16.0,0.00,30.8,3.8,2.7,3.2,0.0,56.3,64.4,13.8,94.21
Terance Mann,LAC,LAC vs. SAC,12/03/2022,L,27,77.4,109.4,-32.1,33.3,0.00,17.6,7.7,10.7,9.0,0.0,46.2,46.8,20.9,95.16
Brandon Boston Jr.,LAC,LAC vs. SAC,12/03/2022,L,20,115.2,137.0,-21.7,16.7,1.00,11.1,4.5,10.0,7.1,11.1,61.5,64.8,29.1,108.52
Malik Monk,SAC,SAC @ LAC,12/03/2022,W,16,113.5,110.0,3.5,16.7,0.00,15.4,0.0,0.0,0.0,0.0,59.1,59.1,26.2,113.84
Jason Preston,LAC,LAC vs. SAC,12/03/2022,L,15,121.9,128.1,-6.3,33.3,1.50,21.4,0.0,14.3,7.1,14.3,50.0,50.0,28.9,104.73
De'Aaron Fox,SAC,SAC @ LAC,12/03/2022,W,28,113.8,86.0,27.8,21.1,2.00,20.0,0.0,17.1,9.8,10.0,45.8,49.3,25.4,99.18
Davion Mitchell,SAC,SAC @ LAC,12/03/2022,W,17,144.1,105.1,39.0,22.2,0.00,40.0,0.0,13.6,7.3,0.0,33.3,33.3,15.8,105.94
Moritz Wagner,ORL,ORL @ TOR,12/03/2022,L,22,72.9,128.6,-55.7,0.0,0.00,0.0,0.0,25.0,10.8,27.3,28.6,31.7,22.0,106.14
Paolo Banchero,ORL,ORL @ TOR,12/03/2022,L,27,89.3,139.3,-50.0,18.8,1.50,18.8,8.7,4.5,6.7,12.5,31.3,42.3,21.0,99.99
Gary Trent Jr.,TOR,TOR vs. ORL,12/03/2022,W,28,106.9,125.4,-18.5,14.3,3.00,21.4,0.0,4.2,2.0,7.1,25.0,25.0,16.9,99.34
Juancho Hernangomez,TOR,TOR vs. ORL,12/03/2022,W,5,109.1,60.0,49.1,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,56.8,9.1,108.39
Terrence Ross,ORL,ORL @ TOR,12/03/2022,L,25,138.0,102.0,36.0,0.0,0.00,0.0,0.0,4.5,2.5,0.0,128.6,128.6,13.2,97.48
AJ Green,MIL,MIL @ CHA,12/03/2022,W,14,126.7,85.7,41.0,8.3,1.00,16.7,0.0,17.6,10.7,16.7,100,103.1,15.6,101.36
Jordan Nwora,MIL,MIL @ CHA,12/03/2022,W,32,92.9,97.1,-4.3,5.3,0.50,6.7,9.4,3.1,6.3,13.3,72.7,69.0,18.2,105.27
George Hill,MIL,MIL @ CHA,12/03/2022,W,26,103.6,89.3,14.3,29.4,1.25,31.3,4.5,3.3,3.8,25.0,57.1,57.1,18.6,103.44
Jalen McDaniels,CHA,CHA vs. MIL,12/03/2022,L,33,91.9,98.6,-6.8,11.8,1.00,9.5,0.0,15.2,7.0,9.5,60.0,62.6,23.5,107.58
Bobby Portis,MIL,MIL @ CHA,12/03/2022,W,31,104.3,97.1,7.2,41.2,2.33,25.0,0.0,25.8,12.7,10.7,52.8,54.2,27.6,107.66
Theo Maledon,CHA,CHA vs. MIL,12/03/2022,L,19,102.6,135.0,-32.4,0.0,0.00,0.0,0.0,7.1,2.9,0.0,62.5,62.5,8.9,101.94
Terry Rozier,CHA,CHA vs. MIL,12/03/2022,L,36,87.3,89.9,-2.5,26.7,1.00,12.9,0.0,13.5,6.6,12.9,50.0,56.0,31.4,106.77
