Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
Andre Miller,DEN,DEN @ MIN,04/26/2012,W,21,107.1,83.3,23.8,55.6,2.50,50.0,0.0,12.5,8.6,20.0,40.0,42.5,23.8,97.94
Kevin Seraphin,WAS,WAS vs. MIA,04/26/2012,W,25,105.9,74.5,31.4,0.0,0.00,0.0,4.5,7.4,6.1,7.7,60.0,63.8,23.2,96.95
Kurt Thomas,POR,POR @ UTA,04/26/2012,L,26,105.8,96.0,9.8,23.5,4.00,33.3,0.0,20.7,10.7,8.3,71.4,71.4,13.3,93.02
Paul Pierce,BOS,BOS vs. MIL,04/26/2012,W,7,126.7,84.6,42.1,0.0,0.00,0.0,0.0,0.0,0.0,0.0,85.7,85.7,41.2,100.55
James Jones,MIA,MIA @ WAS,04/26/2012,L,29,71.9,108.5,-36.5,0.0,0.00,0.0,0.0,10.0,4.3,9.1,38.9,40.5,18.0,95.23
Dirk Nowitzki,DAL,DAL @ ATL,04/26/2012,L,26,111.5,120.4,-8.8,7.1,0.25,5.0,0.0,16.7,7.7,20.0,62.5,72.9,32.2,97.26
Nene,WAS,WAS vs. MIA,04/26/2012,W,19,110.8,77.8,33.0,33.3,1.50,21.4,9.1,35.3,25.0,14.3,85.7,81.5,28.2,92.62
Amar'e Stoudemire,NYK,NYK @ CHA,04/26/2012,W,24,123.3,88.6,34.6,21.4,3.00,14.3,0.0,8.3,4.5,4.8,60.0,61.0,38.3,87.00
Chris Duhon,ORL,ORL @ MEM,04/26/2012,L,27,87.8,108.3,-20.6,18.8,1.00,27.3,0.0,8.7,4.4,27.3,50.0,50.0,15.7,85.85
Troy Murphy,LAL,LAL @ SAC,04/26/2012,L,29,98.1,113.0,-14.8,17.6,3.00,21.4,9.7,10.3,10.0,7.1,60.0,60.0,16.9,90.74
Jamaal Tinsley,UTA,UTA vs. POR,04/26/2012,W,21,117.5,105.1,12.4,46.7,3.50,63.6,4.8,10.0,7.3,18.2,100,100,8.3,90.01
John Lucas III,CHI,CHI vs. CLE,04/26/2012,W,28,132.0,74.5,57.5,25.0,0.00,19.0,0.0,5.0,3.4,0.0,71.9,74.1,30.4,88.25
