Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
Chris McCullough,BKN,BKN vs. TOR,04/13/2016,L,22,90.9,93.2,-2.3,7.1,1.00,11.1,7.7,13.0,10.2,11.1,42.9,42.9,16.3,97.19
Reggie Bullock,DET,DET @ CLE,04/13/2016,W,39,125.4,110.0,15.4,15.4,4.00,28.6,0.0,20.0,11.1,7.1,81.3,84.5,12.5,88.01
Marvin Williams,CHA,CHA vs. ORL,04/13/2016,W,10,152.4,100.0,52.4,0.0,0.00,0.0,0.0,40.0,22.2,0.0,100,101.1,22.7,100.41
Branden Dawson,LAC,LAC @ PHX,04/13/2016,L,7,157.1,123.1,34.1,0.0,0.00,0.0,0.0,0.0,0.0,0.0,50.0,61.5,14.3,99.46
Kelly Olynyk,BOS,BOS vs. MIA,04/13/2016,W,18,114.7,71.4,43.3,27.3,0.00,23.1,0.0,5.6,2.7,0.0,44.4,53.3,25.6,90.00
Bojan Bogdanovic,BKN,BKN vs. TOR,04/13/2016,L,37,104.1,108.0,-3.9,10.0,0.67,8.7,0.0,14.0,7.2,13.0,79.4,79.1,27.3,95.90
Dewayne Dedmon,ORL,ORL @ CHA,04/13/2016,L,12,96.2,100.0,-3.8,0.0,0.00,0.0,0.0,22.2,12.9,50.0,100,100,13.8,107.70
Adreian Payne,MIN,MIN vs. NOP,04/13/2016,W,6,113.3,140.0,-26.7,16.7,1.00,25.0,0.0,20.0,11.1,25.0,50.0,50.0,20.0,113.39
Donald Sloan,BKN,BKN vs. TOR,04/13/2016,L,26,122.4,127.5,-5.0,52.6,0.00,45.5,3.7,6.7,5.3,0.0,45.8,45.8,22.2,92.24
Nikola Mirotic,CHI,CHI vs. PHI,04/13/2016,W,39,118.8,108.9,9.9,18.2,2.00,15.4,4.9,13.2,8.9,7.7,79.4,81.5,23.2,97.85
Gorgui Dieng,MIN,MIN vs. NOP,04/13/2016,W,33,145.8,94.4,51.5,12.5,4.00,26.7,18.2,17.5,17.7,6.7,100,102.5,14.1,105.06
Jordan McRae,CLE,CLE vs. DET,04/13/2016,L,47,111.2,102.1,9.1,25.9,1.40,15.9,2.1,6.4,4.3,11.4,53.4,55.4,36.3,93.25
Marcus Thornton,WAS,WAS vs. ATL,04/13/2016,W,26,106.8,81.0,25.7,11.1,2.00,11.8,0.0,17.9,8.6,5.9,46.4,48.5,22.4,108.63
JaMychal Green,MEM,MEM @ GSW,04/13/2016,L,26,100.0,123.6,-23.6,12.5,1.00,15.4,13.3,17.4,15.1,15.4,62.5,64.4,17.7,101.54
Damien Inglis,MIL,MIL vs. IND,04/13/2016,L,20,92.5,95.1,-2.6,8.3,0.50,12.5,0.0,18.2,9.8,25.0,100,100,17.1,95.92
Toney Douglas,NOP,NOP @ MIN,04/13/2016,L,42,108.8,131.9,-23.1,16.1,1.67,20.0,6.7,3.6,5.5,12.0,53.8,66.6,19.4,103.10
James Anderson,SAC,SAC @ HOU,04/13/2016,L,37,84.0,108.9,-24.9,22.7,0.83,19.2,2.2,8.1,4.9,23.1,45.8,44.4,22.8,103.23
Jared Dudley,WAS,WAS vs. ATL,04/13/2016,W,33,117.3,78.4,39.0,12.9,4.00,26.7,6.1,10.8,8.6,6.7,68.8,71.7,12.9,107.17
Amir Johnson,BOS,BOS vs. MIA,04/13/2016,W,22,122.0,83.3,38.6,18.8,0.00,50.0,4.8,21.4,14.3,0.0,100,100,6.3,92.15
Mike Muscala,ATL,ATL @ WAS,04/13/2016,L,10,116.7,84.0,32.7,20.0,0.00,16.7,11.1,0.0,5.0,0.0,50.0,61.5,19.2,118.87
Mirza Teletovic,PHX,PHX vs. LAC,04/13/2016,W,28,112.9,111.5,1.4,11.1,1.00,8.0,11.8,15.6,13.6,8.0,47.4,53.0,30.7,106.76
Hollis Thompson,PHI,PHI @ CHI,04/13/2016,L,31,123.1,112.1,11.0,5.0,1.00,6.3,0.0,8.0,3.9,6.3,73.1,73.3,22.4,100.39
Nemanja Bjelica,MIN,MIN vs. NOP,04/13/2016,W,19,147.6,109.5,38.1,14.3,3.00,33.3,0.0,15.8,10.0,11.1,100,100,14.0,107.90
Kosta Koufos,SAC,SAC @ HOU,04/13/2016,L,33,81.1,104.1,-23.0,5.9,0.00,7.1,8.9,21.2,14.1,0.0,46.2,46.2,14.9,105.58
Jeff Green,LAC,LAC @ PHX,04/13/2016,L,25,100.0,108.8,-8.8,27.8,1.67,25.0,3.2,22.2,12.1,15.0,45.5,50.5,24.2,110.34
Tyus Jones,MIN,MIN vs. NOP,04/13/2016,W,26,139.7,115.5,24.1,40.0,0.00,66.7,0.0,4.0,2.4,0.0,70.0,66.6,10.0,107.84
Spencer Hawes,CHA,CHA vs. ORL,04/13/2016,W,18,97.6,113.2,-15.6,33.3,0.00,33.3,11.1,15.0,13.2,0.0,100,100,13.6,105.43
