Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Joe Wieskamp,SAS,SAS @ DAL,04/10/2022,L,9,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,1,4
Moses Wright,DAL,DAL vs. SAS,04/10/2022,W,8,2,0,0,-,0,0,-,2,2,100,0,2,2,1,0,1,0,0,-2
Draymond Green,GSW,GSW @ NOP,04/10/2022,W,25,7,2,2,100,1,1,100,2,2,100,0,3,3,6,1,0,2,1,10
CJ McCollum,NOP,NOP vs. GSW,04/10/2022,L,6,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,1,0,0,0,0,5
Kevon Looney,GSW,GSW @ NOP,04/10/2022,W,15,4,2,3,66.7,0,0,-,0,0,-,0,6,6,3,0,0,0,2,2
Willy Hernangomez,NOP,NOP vs. GSW,04/10/2022,L,20,8,3,11,27.3,0,0,-,2,2,100,3,6,9,2,1,0,1,3,-11
Jaxson Hayes,NOP,NOP vs. GSW,04/10/2022,L,16,5,1,6,16.7,1,2,50.0,2,2,100,2,0,2,0,1,0,1,0,2
Jordan Poole,GSW,GSW @ NOP,04/10/2022,W,28,22,7,16,43.8,4,9,44.4,4,4,100,1,3,4,5,0,2,5,1,9
Quinndary Weatherspoon,GSW,GSW @ NOP,04/10/2022,W,4,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0
Naji Marshall,NOP,NOP vs. GSW,04/10/2022,L,32,19,8,15,53.3,0,4,0.0,3,3,100,3,2,5,6,0,0,3,2,-13
Trey Murphy III,NOP,NOP vs. GSW,04/10/2022,L,27,15,6,13,46.2,2,6,33.3,1,1,100,1,5,6,1,2,0,1,0,4
Moses Moody,GSW,GSW @ NOP,04/10/2022,W,19,5,2,3,66.7,1,1,100,0,0,-,0,1,1,2,0,0,0,2,4
Jose Alvarado,NOP,NOP vs. GSW,04/10/2022,L,22,12,6,12,50.0,0,2,0.0,0,2,0.0,2,4,6,0,1,0,1,1,-15
Garrett Temple,NOP,NOP vs. GSW,04/10/2022,L,24,6,2,8,25.0,2,5,40.0,0,0,-,0,2,2,0,0,0,2,1,-16
Nemanja Bjelica,GSW,GSW @ NOP,04/10/2022,W,23,4,2,3,66.7,0,1,0.0,0,0,-,3,4,7,7,2,0,3,3,11
Klay Thompson,GSW,GSW @ NOP,04/10/2022,W,31,41,16,29,55.2,7,14,50.0,2,3,66.7,0,3,3,2,0,0,3,2,25
Tony Snell,NOP,NOP vs. GSW,04/10/2022,L,25,8,3,7,42.9,2,6,33.3,0,0,-,0,1,1,2,2,0,0,3,-23
Larry Nance Jr.,NOP,NOP vs. GSW,04/10/2022,L,20,7,3,7,42.9,1,2,50.0,0,0,-,1,2,3,0,1,0,1,3,-5
Gary Payton II,GSW,GSW @ NOP,04/10/2022,W,18,8,4,4,100,0,0,-,0,0,-,2,1,3,0,0,0,0,0,-3
Gary Clark,NOP,NOP vs. GSW,04/10/2022,L,28,17,6,9,66.7,4,5,80.0,1,2,50.0,5,1,6,3,1,0,1,1,-22
Juan Toscano-Anderson,GSW,GSW @ NOP,04/10/2022,W,24,8,3,4,75.0,2,2,100,0,0,-,0,4,4,4,0,0,3,2,17
Jared Harper,NOP,NOP vs. GSW,04/10/2022,L,20,10,4,9,44.4,2,6,33.3,0,0,-,1,0,1,9,1,0,0,3,-11
Jonathan Kuminga,GSW,GSW @ NOP,04/10/2022,W,29,18,7,10,70.0,3,4,75.0,1,2,50.0,0,5,5,2,1,0,1,2,21
Damion Lee,GSW,GSW @ NOP,04/10/2022,W,24,11,4,7,57.1,1,1,100,2,2,100,1,4,5,1,1,0,0,0,9
JaVale McGee,PHX,PHX vs. SAC,04/10/2022,L,22,11,5,9,55.6,0,0,-,1,4,25.0,7,6,13,1,0,1,2,3,-6
Harrison Barnes,SAC,SAC @ PHX,04/10/2022,W,13,2,1,2,50.0,0,0,-,0,0,-,0,1,1,1,0,0,0,0,11
Justin Holiday,SAC,SAC @ PHX,04/10/2022,W,31,19,7,10,70.0,5,6,83.3,0,0,-,1,1,2,1,2,0,1,4,-5
Elfrid Payton,PHX,PHX vs. SAC,04/10/2022,L,12,2,1,2,50.0,0,0,-,0,0,-,0,1,1,2,1,0,2,0,-8
Isaiah Jackson,IND,IND @ BKN,04/10/2022,L,32,7,3,4,75.0,0,0,-,1,2,50.0,0,3,3,0,2,1,2,5,3
Saben Lee,DET,DET @ PHI,04/10/2022,L,32,11,1,4,25.0,0,0,-,9,12,75.0,2,0,2,8,1,0,7,4,-29
Matisse Thybulle,PHI,PHI vs. DET,04/10/2022,W,36,7,3,4,75.0,1,2,50.0,0,0,-,0,3,3,1,1,2,0,4,-4
Carsen Edwards,DET,DET @ PHI,04/10/2022,L,26,5,2,9,22.2,1,5,20.0,0,0,-,1,0,1,4,0,0,3,0,-15
Furkan Korkmaz,PHI,PHI vs. DET,04/10/2022,W,32,9,2,10,20.0,1,7,14.3,4,4,100,1,2,3,4,0,1,1,0,24
Rodney McGruder,DET,DET @ PHI,04/10/2022,L,25,5,2,7,28.6,0,3,0.0,1,2,50.0,0,5,5,1,0,1,1,3,-20
DeAndre Jordan,PHI,PHI vs. DET,04/10/2022,W,23,8,4,6,66.7,0,0,-,0,2,0.0,3,8,11,1,0,1,0,3,-14
Cedi Osman,CLE,CLE vs. MIL,04/10/2022,W,27,15,6,10,60.0,2,4,50.0,1,2,50.0,0,4,4,2,1,0,1,4,0
Jevon Carter,MIL,MIL @ CLE,04/10/2022,L,33,3,1,11,9.1,1,5,20.0,0,0,-,1,5,6,5,3,0,0,1,-15
Rajon Rondo,CLE,CLE vs. MIL,04/10/2022,W,25,6,2,5,40.0,2,4,50.0,0,0,-,0,4,4,13,1,0,1,4,17
Duane Washington Jr.,IND,IND @ BKN,04/10/2022,L,19,18,7,11,63.6,4,6,66.7,0,0,-,0,0,0,0,1,0,0,0,-4
Kessler Edwards,BKN,BKN vs. IND,04/10/2022,W,39,10,4,7,57.1,0,1,0.0,2,2,100,1,4,5,0,0,2,2,3,8
Trey Lyles,SAC,SAC @ PHX,04/10/2022,W,18,9,4,10,40.0,0,1,0.0,1,2,50.0,0,7,7,1,1,0,3,1,7
Damian Jones,SAC,SAC @ PHX,04/10/2022,W,30,19,8,9,88.9,1,2,50.0,2,5,40.0,1,5,6,3,0,2,1,2,-1
Mikal Bridges,PHX,PHX vs. SAC,04/10/2022,L,6,0,0,2,0.0,0,1,0.0,0,0,-,0,1,1,2,0,0,1,0,-8
Landry Shamet,PHX,PHX vs. SAC,04/10/2022,L,33,27,11,20,55.0,5,12,41.7,0,0,-,0,3,3,5,1,1,1,1,2
Cameron Johnson,PHX,PHX vs. SAC,04/10/2022,L,23,12,4,9,44.4,1,5,20.0,3,3,100,1,6,7,2,0,1,2,0,-3
Davion Mitchell,SAC,SAC @ PHX,04/10/2022,W,40,18,5,14,35.7,2,4,50.0,6,8,75.0,0,3,3,15,0,2,1,1,-2
Hassan Whiteside,UTA,UTA @ POR,04/10/2022,W,15,7,2,2,100,0,0,-,3,4,75.0,2,5,7,3,0,2,1,1,2
Ben McLemore,POR,POR vs. UTA,04/10/2022,L,25,13,4,4,100,2,2,100,3,4,75.0,0,4,4,2,1,0,1,1,-7
Royce O'Neale,UTA,UTA @ POR,04/10/2022,W,27,5,1,6,16.7,1,5,20.0,2,2,100,2,1,3,1,0,0,3,1,12
Juancho Hernangomez,UTA,UTA @ POR,04/10/2022,W,32,22,8,14,57.1,4,7,57.1,2,4,50.0,3,5,8,2,1,0,1,2,12
Reggie Perry,POR,POR vs. UTA,04/10/2022,L,33,20,9,17,52.9,1,4,25.0,1,3,33.3,2,6,8,5,0,2,2,4,-14
Nickeil Alexander-Walker,UTA,UTA @ POR,04/10/2022,W,6,3,1,3,33.3,1,3,33.3,0,0,-,0,0,0,2,0,0,0,2,1
Eric Paschall,UTA,UTA @ POR,04/10/2022,W,6,7,3,5,60.0,0,0,-,1,2,50.0,0,1,1,0,0,0,0,0,1
Keljin Blevins,POR,POR vs. UTA,04/10/2022,L,22,5,2,8,25.0,1,6,16.7,0,0,-,0,3,3,1,2,0,0,3,-13
Jared Butler,UTA,UTA @ POR,04/10/2022,W,22,11,3,6,50.0,1,4,25.0,4,4,100,0,3,3,1,0,1,2,2,15
Xavier Sneed,UTA,UTA @ POR,04/10/2022,W,4,0,0,0,-,0,0,-,0,0,-,1,1,2,1,0,0,0,0,4
Keon Johnson,POR,POR vs. UTA,04/10/2022,L,35,8,3,13,23.1,0,5,0.0,2,2,100,0,3,3,6,3,1,3,3,-14
Jeff Green,DEN,DEN vs. LAL,04/10/2022,L,24,16,7,8,87.5,0,1,0.0,2,2,100,0,2,2,2,0,1,1,3,11
D.J. Augustin,LAL,LAL @ DEN,04/10/2022,W,15,2,0,4,0.0,0,4,0.0,2,2,100,0,1,1,2,0,0,2,2,-5
Wayne Ellington,LAL,LAL @ DEN,04/10/2022,W,30,18,6,10,60.0,4,8,50.0,2,2,100,0,2,2,0,0,1,0,2,-8
DeMarcus Cousins,DEN,DEN vs. LAL,04/10/2022,L,24,17,5,7,71.4,2,3,66.7,5,6,83.3,4,5,9,5,1,2,3,5,1
Austin Rivers,DEN,DEN vs. LAL,04/10/2022,L,23,7,3,7,42.9,1,4,25.0,0,0,-,0,4,4,1,1,0,0,2,11
JaMychal Green,DEN,DEN vs. LAL,04/10/2022,L,23,11,5,7,71.4,0,1,0.0,1,2,50.0,2,7,9,3,3,1,1,3,-1
Malik Monk,LAL,LAL @ DEN,04/10/2022,W,35,41,14,25,56.0,7,14,50.0,6,6,100,1,3,4,1,0,0,3,2,-5
Talen Horton-Tucker,LAL,LAL @ DEN,04/10/2022,W,13,10,3,8,37.5,0,3,0.0,4,5,80.0,1,0,1,3,0,1,1,1,-2
Facundo Campazzo,DEN,DEN vs. LAL,04/10/2022,L,9,3,1,4,25.0,1,3,33.3,0,0,-,0,0,0,4,2,0,1,1,3
Bones Hyland,DEN,DEN vs. LAL,04/10/2022,L,24,17,6,15,40.0,2,9,22.2,3,3,100,0,4,4,6,0,3,2,3,9
Stanley Johnson,LAL,LAL @ DEN,04/10/2022,W,46,15,5,9,55.6,1,4,25.0,4,4,100,0,8,8,3,0,0,2,4,4
Bryn Forbes,DEN,DEN vs. LAL,04/10/2022,L,36,24,6,14,42.9,5,11,45.5,7,7,100,0,1,1,1,1,0,1,2,-3
Vlatko Cancar,DEN,DEN vs. LAL,04/10/2022,L,24,2,1,2,50.0,0,0,-,0,2,0.0,2,6,8,4,0,0,1,5,-10
Davon Reed,DEN,DEN vs. LAL,04/10/2022,L,29,14,6,10,60.0,2,3,66.7,0,3,0.0,0,3,3,4,1,0,3,2,-16
Wenyen Gabriel,LAL,LAL @ DEN,04/10/2022,W,38,14,6,13,46.2,0,1,0.0,2,5,40.0,5,5,10,3,0,2,0,4,14
Zeke Nnaji,DEN,DEN vs. LAL,04/10/2022,L,26,5,1,9,11.1,0,4,0.0,3,3,100,1,1,2,2,0,0,1,3,-13
Markus Howard,DEN,DEN vs. LAL,04/10/2022,L,24,25,8,17,47.1,2,8,25.0,7,8,87.5,2,1,3,1,1,0,0,5,-17
Mason Jones,LAL,LAL @ DEN,04/10/2022,W,24,9,1,3,33.3,0,1,0.0,7,8,87.5,0,5,5,3,1,0,0,4,6
Austin Reaves,LAL,LAL @ DEN,04/10/2022,W,42,31,7,17,41.2,3,5,60.0,14,14,100,6,10,16,10,2,1,3,0,12
Mac McClung,LAL,LAL @ DEN,04/10/2022,W,22,6,2,5,40.0,1,3,33.3,1,1,100,0,3,3,1,1,1,2,5,9
Patty Mills,BKN,BKN vs. IND,04/10/2022,W,30,8,3,6,50.0,2,5,40.0,0,0,-,0,2,2,2,0,0,3,1,16
Lance Stephenson,IND,IND @ BKN,04/10/2022,L,17,10,3,8,37.5,0,1,0.0,4,6,66.7,0,1,1,5,1,0,1,4,-15
Kyrie Irving,BKN,BKN vs. IND,04/10/2022,W,40,35,15,20,75.0,4,6,66.7,1,2,50.0,1,6,7,5,1,0,3,2,3
Bruce Brown,BKN,BKN vs. IND,04/10/2022,W,38,21,8,13,61.5,1,2,50.0,4,5,80.0,0,7,7,3,3,2,3,3,0
Nic Claxton,BKN,BKN vs. IND,04/10/2022,W,23,14,6,6,100,0,0,-,2,2,100,2,4,6,4,0,0,1,4,7
Kevin Love,CLE,CLE vs. MIL,04/10/2022,W,15,32,10,16,62.5,8,11,72.7,4,6,66.7,2,8,10,2,1,0,0,1,15
Jrue Holiday,MIL,MIL @ CLE,04/10/2022,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,0
Brandon Goodwin,CLE,CLE vs. MIL,04/10/2022,W,8,0,0,2,0.0,0,0,-,0,0,-,0,0,0,1,0,0,2,2,-21
Moses Brown,CLE,CLE vs. MIL,04/10/2022,W,9,8,4,5,80.0,0,0,-,0,0,-,1,1,2,0,0,0,0,3,-20
Jordan Nwora,MIL,MIL @ CLE,04/10/2022,L,44,24,7,23,30.4,3,8,37.5,7,7,100,1,9,10,4,0,1,2,1,-26
Dylan Windler,CLE,CLE vs. MIL,04/10/2022,W,19,2,1,3,33.3,0,2,0.0,0,0,-,1,2,3,2,0,0,0,4,-27
Rayjon Tucker,MIL,MIL @ CLE,04/10/2022,L,39,15,5,7,71.4,3,3,100,2,3,66.7,2,2,4,4,2,0,1,2,-10
Lamar Stevens,CLE,CLE vs. MIL,04/10/2022,W,20,8,4,10,40.0,0,0,-,0,0,-,2,1,3,2,0,1,3,1,-22
Sandro Mamukelashvili,MIL,MIL @ CLE,04/10/2022,L,43,28,10,18,55.6,2,5,40.0,6,6,100,3,10,13,4,1,0,2,2,-18
Davis Bertans,DAL,DAL vs. SAS,04/10/2022,W,13,8,3,4,75.0,2,3,66.7,0,0,-,0,1,1,0,1,0,0,1,-9
Spencer Dinwiddie,DAL,DAL vs. SAS,04/10/2022,W,18,8,3,7,42.9,2,4,50.0,0,0,-,0,3,3,5,1,0,1,1,2
Josh Richardson,SAS,SAS @ DAL,04/10/2022,L,28,18,6,12,50.0,4,7,57.1,2,2,100,0,3,3,1,1,0,2,1,5
Marquese Chriss,DAL,DAL vs. SAS,04/10/2022,W,21,6,2,7,28.6,0,0,-,2,2,100,3,0,3,0,0,0,0,3,-3
Dejounte Murray,SAS,SAS @ DAL,04/10/2022,L,32,17,5,15,33.3,1,6,16.7,6,6,100,0,1,1,7,3,0,2,2,-6
Jakob Poeltl,SAS,SAS @ DAL,04/10/2022,L,29,12,6,11,54.5,0,0,-,0,0,-,4,6,10,0,1,1,1,3,-10
Theo Pinson,DAL,DAL vs. SAS,04/10/2022,W,13,16,5,5,100,4,4,100,2,2,100,0,1,1,2,0,0,2,1,-7
Keldon Johnson,SAS,SAS @ DAL,04/10/2022,L,34,24,8,19,42.1,1,6,16.7,7,7,100,0,6,6,3,4,0,0,2,-9
Devin Vassell,SAS,SAS @ DAL,04/10/2022,L,32,15,4,11,36.4,3,8,37.5,4,4,100,1,3,4,3,1,0,2,1,-21
Josh Green,DAL,DAL vs. SAS,04/10/2022,W,17,7,3,5,60.0,1,3,33.3,0,0,-,1,2,3,2,0,0,2,3,0
Danilo Gallinari,ATL,ATL @ HOU,04/10/2022,W,32,26,9,14,64.3,6,8,75.0,2,2,100,1,3,4,2,0,1,2,2,2
Delon Wright,ATL,ATL @ HOU,04/10/2022,W,22,2,0,1,0.0,0,1,0.0,2,2,100,1,1,2,3,1,0,0,0,12
David Nwaba,HOU,HOU vs. ATL,04/10/2022,L,13,2,1,2,50.0,0,1,0.0,0,0,-,1,1,2,1,1,1,0,0,-13
Kevin Huerter,ATL,ATL @ HOU,04/10/2022,W,30,11,4,8,50.0,3,6,50.0,0,0,-,0,5,5,5,0,0,1,3,13
Onyeka Okongwu,ATL,ATL @ HOU,04/10/2022,W,23,8,3,4,75.0,0,0,-,2,2,100,1,8,9,1,0,1,1,5,9
Jalen Green,HOU,HOU vs. ATL,04/10/2022,L,40,41,14,26,53.8,4,11,36.4,9,11,81.8,0,1,1,3,1,0,0,1,0
Kenyon Martin Jr.,HOU,HOU vs. ATL,04/10/2022,L,18,11,4,6,66.7,2,4,50.0,1,2,50.0,0,1,1,0,0,0,0,2,-16
Josh Christopher,HOU,HOU vs. ATL,04/10/2022,L,19,6,2,6,33.3,0,3,0.0,2,4,50.0,0,1,1,3,1,0,1,4,-21
Usman Garuba,HOU,HOU vs. ATL,04/10/2022,L,13,0,0,2,0.0,0,2,0.0,0,0,-,0,7,7,1,0,0,0,2,1
Greg Monroe,MIN,MIN vs. CHI,04/10/2022,L,18,9,4,8,50.0,0,0,-,1,2,50.0,1,2,3,5,2,2,3,2,7
Jake Layman,MIN,MIN vs. CHI,04/10/2022,L,17,10,3,3,100,1,1,100,3,4,75.0,0,3,3,0,1,0,0,0,16
Tony Bradley,CHI,CHI @ MIN,04/10/2022,W,15,11,5,8,62.5,0,0,-,1,2,50.0,6,2,8,1,0,1,3,4,3
Jaylen Nowell,MIN,MIN vs. CHI,04/10/2022,L,21,15,6,12,50.0,3,5,60.0,0,0,-,0,0,0,2,0,1,1,0,-2
Javonte Green,CHI,CHI @ MIN,04/10/2022,W,40,8,4,8,50.0,0,2,0.0,0,0,-,1,6,7,2,2,0,0,3,2
Patrick Williams,CHI,CHI @ MIN,04/10/2022,W,41,35,10,21,47.6,3,4,75.0,12,14,85.7,0,4,4,4,0,1,5,2,-8
Leandro Bolmaro,MIN,MIN vs. CHI,04/10/2022,L,18,11,4,9,44.4,1,1,100,2,2,100,1,2,3,4,0,0,0,1,15
Nathan Knight,MIN,MIN vs. CHI,04/10/2022,L,16,17,7,12,58.3,1,3,33.3,2,3,66.7,2,6,8,3,0,0,1,4,16
Ayo Dosunmu,CHI,CHI @ MIN,04/10/2022,W,45,26,9,18,50.0,3,6,50.0,5,7,71.4,2,3,5,6,2,0,7,2,10
Malcolm Hill,CHI,CHI @ MIN,04/10/2022,W,13,2,1,2,50.0,0,1,0.0,0,0,-,0,3,3,3,1,0,1,2,-9
Thaddeus Young,TOR,TOR @ NYK,04/10/2022,L,20,5,2,3,66.7,1,1,100,0,0,-,0,3,3,4,2,1,1,2,16
Taj Gibson,NYK,NYK vs. TOR,04/10/2022,W,17,2,1,4,25.0,0,1,0.0,0,0,-,2,1,3,0,1,2,1,2,-13
Alec Burks,NYK,NYK vs. TOR,04/10/2022,W,40,10,4,7,57.1,2,4,50.0,0,0,-,2,4,6,8,1,0,4,5,24
Evan Fournier,NYK,NYK vs. TOR,04/10/2022,W,33,6,2,11,18.2,2,9,22.2,0,0,-,0,3,3,5,2,2,0,2,-1
Ryan Arcidiacono,NYK,NYK vs. TOR,04/10/2022,W,23,5,2,5,40.0,1,4,25.0,0,0,-,0,1,1,2,0,0,1,3,-9
Darius Garland,CLE,CLE vs. MIL,04/10/2022,W,23,11,4,7,57.1,3,5,60.0,0,0,-,0,2,2,8,0,0,0,0,38
