Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Luka Garza,DET,DET @ PHI,04/10/2022,L,31,20,8,18,44.4,2,7,28.6,2,6,33.3,7,3,10,4,0,1,1,3,-22
Braxton Key,DET,DET @ PHI,04/10/2022,L,22,12,5,7,71.4,1,2,50.0,1,1,100,2,3,5,3,1,1,2,0,-15
Isaiah Stewart,DET,DET @ PHI,04/10/2022,L,13,10,4,4,100,2,2,100,0,0,-,1,5,6,2,0,0,0,1,10
Saddiq Bey,DET,DET @ PHI,04/10/2022,L,13,5,2,7,28.6,0,1,0.0,1,2,50.0,1,2,3,2,0,0,0,0,10
Tyrese Maxey,PHI,PHI vs. DET,04/10/2022,W,23,25,9,15,60.0,0,4,0.0,7,7,100,0,2,2,3,0,0,2,2,-12
Killian Hayes,DET,DET @ PHI,04/10/2022,L,10,8,3,7,42.9,1,3,33.3,1,2,50.0,0,1,1,1,1,0,0,2,14
Frank Jackson,DET,DET @ PHI,04/10/2022,L,22,10,4,9,44.4,0,4,0.0,2,2,100,0,1,1,0,0,0,1,1,3
Tobias Harris,PHI,PHI vs. DET,04/10/2022,W,24,6,3,10,30.0,0,0,-,0,0,-,2,3,5,6,1,0,2,4,0
Danny Green,PHI,PHI vs. DET,04/10/2022,W,20,0,0,2,0.0,0,2,0.0,0,0,-,0,4,4,2,3,0,2,2,-9
Feron Hunt,NYK,NYK vs. TOR,04/10/2022,W,7,0,0,2,0.0,0,0,-,0,0,-,1,0,1,1,0,0,1,0,-4
Jericho Sims,NYK,NYK vs. TOR,04/10/2022,W,39,6,3,4,75.0,0,0,-,0,0,-,3,11,14,1,2,0,3,2,27
Scottie Barnes,TOR,TOR @ NYK,04/10/2022,L,22,7,3,5,60.0,1,2,50.0,0,0,-,0,2,2,5,1,0,2,3,-7
Immanuel Quickley,NYK,NYK vs. TOR,04/10/2022,W,42,34,12,26,46.2,4,11,36.4,6,8,75.0,1,9,10,12,0,0,3,2,23
Yuta Watanabe,TOR,TOR @ NYK,04/10/2022,L,11,4,1,4,25.0,0,3,0.0,2,2,100,0,4,4,2,1,0,0,0,-16
Gary Trent Jr.,TOR,TOR @ NYK,04/10/2022,L,31,17,8,17,47.1,1,4,25.0,0,0,-,0,1,1,2,0,0,3,3,-7
Svi Mykhailiuk,TOR,TOR @ NYK,04/10/2022,L,8,6,2,6,33.3,2,5,40.0,0,0,-,0,0,0,0,1,0,1,2,-8
O.G. Anunoby,TOR,TOR @ NYK,04/10/2022,L,25,8,3,9,33.3,0,5,0.0,2,2,100,2,7,9,3,1,0,3,0,-11
Khem Birch,TOR,TOR @ NYK,04/10/2022,L,19,4,2,3,66.7,0,0,-,0,0,-,2,3,5,2,1,0,0,0,-4
Javonte Smart,MIA,MIA @ ORL,04/10/2022,L,34,20,8,14,57.1,4,8,50.0,0,0,-,1,4,5,1,1,1,2,1,-14
Devin Cannady,ORL,ORL vs. MIA,04/10/2022,W,33,15,4,10,40.0,4,9,44.4,3,3,100,0,0,0,2,0,0,0,1,18
Admiral Schofield,ORL,ORL vs. MIA,04/10/2022,W,22,8,3,6,50.0,2,5,40.0,0,0,-,0,5,5,0,0,0,0,2,10
Ignas Brazdeikis,ORL,ORL vs. MIA,04/10/2022,W,25,15,6,10,60.0,1,5,20.0,2,3,66.7,1,4,5,3,0,0,0,1,7
Haywood Highsmith,MIA,MIA @ ORL,04/10/2022,L,40,16,7,17,41.2,2,8,25.0,0,1,0.0,3,2,5,2,0,1,1,1,-10
Gabe Vincent,MIA,MIA @ ORL,04/10/2022,L,12,6,2,4,50.0,2,3,66.7,0,0,-,0,2,2,2,0,0,0,2,-10
Mychal Mulder,MIA,MIA @ ORL,04/10/2022,L,42,11,3,9,33.3,3,7,42.9,2,2,100,0,2,2,2,0,1,0,1,-5
Udonis Haslem,MIA,MIA @ ORL,04/10/2022,L,20,2,1,5,20.0,0,1,0.0,0,0,-,0,6,6,1,0,0,1,4,-23
Omer Yurtseven,MIA,MIA @ ORL,04/10/2022,L,35,7,3,14,21.4,0,3,0.0,1,2,50.0,4,6,10,1,1,1,2,1,5
R.J. Hampton,ORL,ORL vs. MIA,04/10/2022,W,33,21,8,16,50.0,4,7,57.1,1,1,100,2,4,6,5,0,0,1,2,6
Chuma Okeke,ORL,ORL vs. MIA,04/10/2022,W,29,17,6,13,46.2,5,12,41.7,0,0,-,0,6,6,0,1,1,1,2,-4
Duncan Robinson,MIA,MIA @ ORL,04/10/2022,L,20,9,3,9,33.3,3,9,33.3,0,0,-,1,6,7,4,1,0,0,1,-9
Moritz Wagner,ORL,ORL vs. MIA,04/10/2022,W,30,14,5,11,45.5,2,7,28.6,2,2,100,0,11,11,5,2,0,2,2,5
Mo Bamba,ORL,ORL vs. MIA,04/10/2022,W,28,21,7,11,63.6,5,9,55.6,2,3,66.7,2,8,10,1,0,2,0,2,7
Markelle Fultz,ORL,ORL vs. MIA,04/10/2022,W,29,10,5,12,41.7,0,3,0.0,0,0,-,0,2,2,15,1,0,4,3,4
Victor Oladipo,MIA,MIA @ ORL,04/10/2022,L,36,40,13,22,59.1,5,11,45.5,9,11,81.8,1,9,10,7,2,0,4,2,-4
Robin Lopez,ORL,ORL vs. MIA,04/10/2022,W,10,4,1,2,50.0,0,1,0.0,2,2,100,1,2,3,2,0,0,0,1,17
Cam Thomas,BKN,BKN vs. IND,04/10/2022,W,9,6,2,3,66.7,1,2,50.0,1,2,50.0,0,0,0,0,0,0,1,0,-2
Tyrese Haliburton,IND,IND @ BKN,04/10/2022,L,39,17,7,14,50.0,2,5,40.0,1,1,100,2,2,4,10,2,0,1,0,-9
Daniel Theis,BOS,BOS @ MEM,04/10/2022,W,26,11,5,8,62.5,0,1,0.0,1,1,100,5,4,9,3,0,0,0,1,19
Buddy Hield,IND,IND @ BKN,04/10/2022,L,36,21,8,23,34.8,5,14,35.7,0,0,-,0,3,3,6,3,0,2,3,0
T.J. McConnell,IND,IND @ BKN,04/10/2022,L,31,14,5,15,33.3,3,7,42.9,1,2,50.0,0,3,3,5,3,0,0,3,7
Marcus Smart,BOS,BOS @ MEM,04/10/2022,W,26,4,2,7,28.6,0,4,0.0,0,0,-,1,2,3,6,1,0,2,1,19
Kyle Anderson,MEM,MEM vs. BOS,04/10/2022,L,25,16,6,11,54.5,1,3,33.3,3,4,75.0,1,6,7,3,3,1,0,0,-18
Jayson Tatum,BOS,BOS @ MEM,04/10/2022,W,26,31,11,14,78.6,6,8,75.0,3,3,100,0,9,9,3,1,0,5,2,29
Terry Taylor,IND,IND @ BKN,04/10/2022,L,24,10,4,7,57.1,0,1,0.0,2,2,100,6,1,7,1,1,0,0,2,-12
Thanasis Antetokounmpo,MIL,MIL @ CLE,04/10/2022,L,41,27,9,14,64.3,1,3,33.3,8,10,80.0,0,5,5,2,0,1,5,3,-7
Isaiah Livers,DET,DET @ PHI,04/10/2022,L,23,14,5,5,100,2,2,100,2,2,100,1,2,3,1,1,0,2,2,8
Paul Reed,PHI,PHI vs. DET,04/10/2022,W,21,25,12,14,85.7,0,0,-,1,1,100,2,4,6,2,4,1,0,5,30
Boban Marjanovic,DAL,DAL vs. SAS,04/10/2022,W,8,4,2,4,50.0,0,1,0.0,0,0,-,1,1,2,1,0,0,2,1,-2
Dorian Finney-Smith,DAL,DAL vs. SAS,04/10/2022,W,27,16,6,7,85.7,4,5,80.0,0,0,-,0,3,3,1,1,0,0,0,14
Zach Collins,SAS,SAS @ DAL,04/10/2022,L,15,8,3,3,100,0,0,-,2,2,100,0,2,2,4,3,1,1,3,2
Keita Bates-Diop,SAS,SAS @ DAL,04/10/2022,L,14,8,3,6,50.0,0,0,-,2,2,100,2,2,4,1,0,0,0,0,-1
Jalen Brunson,DAL,DAL vs. SAS,04/10/2022,W,25,18,7,13,53.8,3,7,42.9,1,2,50.0,0,6,6,5,0,0,1,0,12
Luka Doncic,DAL,DAL vs. SAS,04/10/2022,W,29,26,8,18,44.4,2,5,40.0,8,8,100,1,7,8,9,2,1,4,1,19
Jock Landale,SAS,SAS @ DAL,04/10/2022,L,5,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Devontae Cacok,SAS,SAS @ DAL,04/10/2022,L,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-2
Tre Jones,SAS,SAS @ DAL,04/10/2022,L,21,12,5,9,55.6,2,4,50.0,0,0,-,0,1,1,6,2,0,0,2,2
Joshua Primo,SAS,SAS @ DAL,04/10/2022,L,19,4,2,2,100,0,0,-,0,0,-,0,2,2,1,0,1,0,2,-12
