Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
Stephon Marbury,BOS,BOS vs. WAS,04/15/2009,W,32,112.3,113.6,-1.3,32.0,2.00,38.1,0.0,10.7,5.5,19.0,44.4,45.5,18.1,97.74
David Lee,NYK,NYK vs. NJN,04/15/2009,W,25,116.3,72.9,43.4,17.6,3.00,23.1,9.1,37.0,24.5,7.7,62.5,67.6,18.5,93.81
Theo Ratliff,PHI,PHI @ CLE,04/15/2009,W,25,129.8,108.7,21.1,0.0,0.00,0.0,10.0,16.0,13.3,0.0,100,100,1.8,87.79
Anderson Varejao,CLE,CLE vs. PHI,04/15/2009,L,11,115.0,90.5,24.5,11.1,0.00,25.0,28.6,33.3,31.3,0.0,50.0,52.1,13.6,91.39
Leandro Barbosa,PHX,PHX vs. GSW,04/15/2009,W,27,108.8,112.3,-3.5,0.0,0.00,0.0,5.9,2.8,4.3,0.0,50.0,50.0,25.4,101.21
Hakim Warrick,MEM,MEM vs. ATL,04/15/2009,W,30,108.9,96.3,12.6,0.0,0.00,0.0,4.2,10.3,7.5,6.7,58.3,52.8,24.6,89.29
Sean Marks,NOH,NOH @ SAS,04/15/2009,L,15,108.3,79.2,29.2,0.0,0.00,0.0,16.7,18.2,17.4,0.0,100,100,7.4,78.46
Josh Boone,NJN,NJN @ NYK,04/15/2009,L,7,153.8,100.0,53.8,0.0,0.00,0.0,16.7,8.3,11.1,0.0,50.0,50.0,11.8,91.63
Chris Kaman,LAC,LAC vs. OKC,04/15/2009,L,26,78.2,120.4,-42.2,0.0,0.00,0.0,4.0,21.7,12.5,15.8,42.9,41.2,33.3,102.08
Jamaal Magloire,MIA,MIA vs. DET,04/15/2009,W,27,121.3,120.8,0.4,6.3,0.00,8.3,20.0,19.0,19.6,0.0,60.0,61.8,19.6,84.37
Andris Biedrins,GSW,GSW @ PHX,04/15/2009,L,33,100.0,115.6,-15.6,9.5,1.00,20.0,10.0,15.0,12.5,20.0,100,79.8,9.9,94.48
Amir Johnson,DET,DET @ MIA,04/15/2009,L,22,86.8,84.2,2.6,0.0,0.00,0.0,0.0,11.8,4.3,0.0,50.0,37.6,10.6,83.05
Chris Paul,NOH,NOH @ SAS,04/15/2009,L,47,106.0,109.5,-3.6,53.8,14.00,35.0,0.0,17.1,8.6,2.5,47.6,53.0,29.5,85.21
JaVale McGee,WAS,WAS @ BOS,04/15/2009,L,29,103.6,123.2,-19.6,7.1,0.50,6.3,4.5,3.7,4.1,12.5,63.6,64.4,25.9,90.94
Ryan Hollins,DAL,DAL vs. HOU,04/15/2009,W,12,113.0,100.0,13.0,0.0,0.00,0.0,0.0,9.1,5.3,0.0,100,86.2,8.7,93.52
Kyle Weaver,OKC,OKC @ LAC,04/15/2009,W,18,114.3,73.2,41.1,11.1,1.00,33.3,0.0,0.0,0.0,33.3,50.0,50.0,8.7,109.35
Jason Thompson,SAC,SAC @ MIN,04/15/2009,W,32,108.6,86.0,22.7,10.5,0.67,11.1,11.5,12.9,12.3,16.7,45.5,51.3,25.8,86.75
Craig Smith,MIN,MIN vs. SAC,04/15/2009,L,19,97.2,89.5,7.7,0.0,0.00,0.0,6.7,8.7,7.9,12.5,63.6,66.0,38.1,96.09
Rasheed Wallace,DET,DET @ MIA,04/15/2009,L,9,106.3,146.7,-40.4,0.0,0.00,0.0,0.0,10.0,5.6,0.0,150.0,150.0,5.6,79.29
Tayshaun Prince,DET,DET @ MIA,04/15/2009,L,9,106.3,146.7,-40.4,0.0,0.00,0.0,0.0,0.0,0.0,0.0,50.0,50.0,11.1,79.29
Steve Blake,POR,POR vs. DEN,04/15/2009,W,30,89.3,89.1,0.2,25.0,1.33,26.7,4.0,9.4,7.0,20.0,50.0,57.1,18.0,89.85
David West,NOH,NOH @ SAS,04/15/2009,L,48,103.5,109.3,-5.8,0.0,0.00,0.0,0.0,16.7,8.4,3.8,64.6,66.0,28.9,85.41
