Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
Reggie Jackson,OKC,OKC vs. MIL,04/17/2013,L,36,98.5,107.6,-9.1,26.3,5.00,18.5,2.4,13.2,7.6,3.7,44.4,54.6,28.9,86.99
Hamed Haddadi,PHX,PHX @ DEN,04/17/2013,L,20,104.8,111.9,-7.1,7.7,1.00,7.7,8.7,21.7,15.2,7.7,63.6,63.6,25.5,101.22
Richard Jefferson,GSW,GSW @ POR,04/17/2013,W,7,66.7,142.9,-76.2,0.0,0.00,0.0,0.0,20.0,8.3,33.3,100,106.4,20.0,103.11
Mike Scott,ATL,ATL @ NYK,04/17/2013,L,36,88.4,109.9,-21.5,7.1,0.00,4.2,11.1,22.0,16.3,0.0,45.5,49.3,27.4,92.69
Taj Gibson,CHI,CHI vs. WAS,04/17/2013,W,21,97.5,128.6,-31.1,0.0,0.00,0.0,5.6,14.3,10.3,20.0,42.9,48.1,23.3,91.89
Nazr Mohammed,CHI,CHI vs. WAS,04/17/2013,W,22,124.4,73.2,51.2,0.0,0.00,0.0,14.3,16.7,15.6,13.3,58.3,63.8,30.6,89.45
Anthony Morrow,DAL,DAL vs. NOH,04/17/2013,W,4,55.6,144.4,-88.9,0.0,0.00,0.0,0.0,0.0,0.0,50.0,100,100,22.2,98.18
Carl Landry,GSW,GSW @ POR,04/17/2013,W,29,111.9,96.6,15.3,0.0,0.00,0.0,9.4,22.2,15.3,15.4,45.5,45.5,19.1,95.78
Kevin Seraphin,WAS,WAS @ CHI,04/17/2013,L,31,93.2,119.0,-25.7,15.8,1.50,20.0,2.9,25.0,13.6,13.3,44.4,50.6,19.0,90.39
Beno Udrih,ORL,ORL @ MIA,04/17/2013,L,36,108.8,126.5,-17.6,53.8,3.50,50.0,3.3,6.7,5.0,14.3,68.8,66.6,18.4,90.54
Shannon Brown,PHX,PHX @ DEN,04/17/2013,L,18,129.7,105.4,24.3,0.0,0.00,0.0,5.0,0.0,2.4,0.0,81.3,81.3,18.6,99.50
Roger Mason Jr.,NOH,NOH @ DAL,04/17/2013,L,10,125.0,115.8,9.2,14.3,0.00,33.3,0.0,12.5,6.7,0.0,75.0,75.0,8.3,96.00
Rudy Gay,TOR,TOR vs. BOS,04/17/2013,W,26,127.8,100.0,27.8,11.1,0.00,11.8,3.8,32.0,17.6,0.0,57.1,62.0,24.2,100.21
Chris Kaman,DAL,DAL vs. NOH,04/17/2013,W,13,73.1,84.6,-11.5,0.0,0.00,0.0,0.0,23.8,15.6,28.6,60.0,60.0,26.9,95.88
Anthony Randolph,DEN,DEN vs. PHX,04/17/2013,W,22,112.5,102.0,10.5,10.5,0.67,18.2,14.3,31.4,25.0,27.3,80.0,87.0,15.8,106.59
Wesley Johnson,PHX,PHX @ DEN,04/17/2013,L,20,90.7,119.0,-28.3,10.0,1.00,7.7,0.0,15.0,6.1,7.7,54.5,54.5,22.6,100.33
John Lucas III,TOR,TOR vs. BOS,04/17/2013,W,26,117.4,100.0,17.4,23.5,0.00,36.4,0.0,3.7,2.2,0.0,50.0,50.0,14.3,87.07
Bismack Biyombo,CHA,CHA vs. CLE,04/17/2013,W,36,108.3,111.0,-2.6,0.0,0.00,0.0,0.0,13.3,6.8,0.0,60.0,68.0,7.7,95.82
Ivan Johnson,ATL,ATL @ NYK,04/17/2013,L,20,95.0,107.5,-12.5,9.1,0.50,11.1,15.0,25.0,20.0,22.2,100,100,17.0,94.97
Brook Lopez,BKN,BKN vs. DET,04/17/2013,W,21,122.0,78.0,43.9,9.1,1.00,5.0,23.8,20.0,22.0,5.0,46.7,56.7,38.0,94.01
Tobias Harris,ORL,ORL @ MIA,04/17/2013,L,38,109.7,119.2,-9.5,7.7,0.00,9.1,6.7,17.6,12.5,0.0,43.8,45.6,25.0,91.05
Kosta Koufos,DEN,DEN vs. PHX,04/17/2013,W,17,119.4,75.7,43.8,0.0,0.00,0.0,5.9,18.2,12.8,0.0,62.5,65.2,19.5,100.50
Aaron Gray,TOR,TOR vs. BOS,04/17/2013,W,14,104.2,108.7,-4.5,22.2,2.00,40.0,0.0,8.3,4.3,20.0,100,79.8,11.1,82.74
Tyrus Thomas,CHA,CHA vs. CLE,04/17/2013,W,7,143.8,55.6,88.2,25.0,2.00,40.0,0.0,10.0,6.3,20.0,50.0,50.0,16.7,109.78
Pau Gasol,LAL,LAL vs. HOU,04/17/2013,W,44,102.4,103.7,-1.3,52.4,3.67,33.3,10.0,34.9,21.5,9.1,41.2,45.3,22.0,91.12
Iman Shumpert,NYK,NYK vs. ATL,04/17/2013,W,38,118.9,96.0,22.9,28.6,2.67,34.8,2.6,14.3,8.6,13.0,68.2,73.1,17.6,93.15
DeQuan Jones,ORL,ORL @ MIA,04/17/2013,L,9,72.2,138.9,-66.7,0.0,0.00,0.0,0.0,25.0,11.8,25.0,100,90.4,20.0,98.18
Derrick Williams,MIN,MIN @ SAS,04/17/2013,W,33,108.3,85.9,22.4,18.2,2.00,17.4,0.0,20.0,9.2,8.7,53.3,59.5,24.4,104.16
P.J. Tucker,PHX,PHX @ DEN,04/17/2013,L,26,87.5,124.1,-36.6,0.0,0.00,0.0,7.5,17.4,11.1,15.4,55.6,65.1,18.3,102.00
Chauncey Billups,LAC,LAC @ SAC,04/17/2013,W,19,100.0,122.5,-22.5,0.0,0.00,0.0,5.6,16.7,11.1,23.1,81.3,87.1,28.3,104.89
Josh McRoberts,CHA,CHA vs. CLE,04/17/2013,W,41,102.5,108.6,-6.1,9.1,0.67,14.3,3.0,21.2,12.1,21.4,125.0,115.7,14.0,95.25
Cole Aldrich,SAC,SAC vs. LAC,04/17/2013,L,4,37.5,112.5,-75.0,0.0,0.00,0.0,0.0,40.0,18.2,0.0,50.0,50.0,22.2,103.78
Marcus Thornton,SAC,SAC vs. LAC,04/17/2013,L,37,117.3,113.0,4.3,13.0,0.00,13.0,2.3,2.8,2.5,0.0,52.5,52.5,22.7,98.57
Lance Stephenson,IND,IND vs. PHI,04/17/2013,L,26,98.1,126.4,-28.3,37.5,1.50,31.6,3.6,11.1,6.5,21.1,62.5,67.6,21.0,97.86
Matt Bonner,SAS,SAS vs. MIN,04/17/2013,L,26,94.7,124.6,-29.8,6.7,1.00,16.7,0.0,8.7,4.3,16.7,87.5,87.5,8.3,105.91
Tim Duncan,SAS,SAS vs. MIN,04/17/2013,L,27,98.4,108.3,-10.0,20.0,0.60,13.6,8.3,42.9,26.9,22.7,45.5,60.4,29.7,105.92
Al Jefferson,UTA,UTA @ MEM,04/17/2013,L,40,80.8,101.4,-20.5,16.7,2.00,8.0,4.2,30.4,17.0,4.0,42.1,50.8,26.7,86.84
Jarrett Jack,GSW,GSW @ POR,04/17/2013,W,34,113.0,94.1,18.9,23.1,6.00,33.3,2.9,12.5,7.5,5.6,60.0,61.8,15.2,95.49
Kris Humphries,BKN,BKN vs. DET,04/17/2013,W,24,98.1,121.2,-23.1,13.3,0.50,15.4,9.5,23.8,16.7,30.8,83.3,79.9,19.3,104.00
DeAndre Liggins,OKC,OKC vs. MIL,04/17/2013,L,17,79.4,122.9,-43.4,0.0,0.00,0.0,0.0,13.3,5.7,25.0,50.0,52.1,10.8,95.81
Ray Allen,MIA,MIA vs. ORL,04/17/2013,W,25,130.4,93.5,37.0,15.0,1.50,21.4,0.0,0.0,0.0,14.3,55.6,55.6,21.6,86.82
Arnett Moultrie,PHI,PHI @ IND,04/17/2013,W,29,94.9,98.3,-3.4,5.9,1.00,7.7,18.8,20.0,19.4,7.7,63.6,63.6,17.4,97.39
Mickael Gelabale,MIN,MIN @ SAS,04/17/2013,W,4,100.0,145.5,-45.5,0.0,0.00,0.0,0.0,0.0,0.0,50.0,150.0,150.0,18.2,128.14
Chase Budinger,MIN,MIN @ SAS,04/17/2013,W,24,102.0,91.7,10.4,7.1,1.00,6.7,3.8,11.1,7.5,6.7,57.7,57.7,25.9,98.18
Joel Freeland,POR,POR vs. GSW,04/17/2013,L,16,87.5,125.0,-37.5,11.1,0.50,9.1,0.0,13.3,7.1,18.2,42.9,44.4,30.3,96.60
DeMar DeRozan,TOR,TOR vs. BOS,04/17/2013,W,29,134.4,96.7,37.7,10.0,0.00,11.8,3.7,6.9,5.4,0.0,73.1,78.9,21.7,100.68
