Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
Robert Sacre,LAL,LAL vs. SAC,04/15/2015,L,20,107.3,114.6,-7.3,6.3,1.00,11.1,11.5,5.6,9.1,11.1,42.9,42.9,15.4,101.01
DeMar DeRozan,TOR,TOR vs. CHA,04/15/2015,W,34,111.7,101.7,9.9,27.3,1.50,26.1,4.0,11.5,7.8,17.4,61.5,61.5,26.6,83.29
Pablo Prigioni,HOU,HOU vs. UTA,04/15/2015,W,20,97.7,82.9,14.7,16.7,2.00,33.3,4.3,17.4,10.9,16.7,133.3,133.3,8.5,102.86
Markel Brown,BKN,BKN vs. ORL,04/15/2015,W,10,78.9,125.0,-46.1,0.0,0.00,0.0,0.0,0.0,0.0,0.0,50.0,50.0,9.5,96.21
James Young,BOS,BOS @ MIL,04/15/2015,W,25,116.7,106.3,10.4,10.5,0.00,18.2,0.0,4.2,2.2,0.0,50.0,51.4,17.3,94.23
Ian Clark,DEN,DEN @ GSW,04/15/2015,L,16,119.4,105.3,14.2,7.1,1.00,12.5,0.0,11.8,6.5,12.5,70.0,76.5,18.4,112.17
Joey Dorsey,HOU,HOU vs. UTA,04/15/2015,W,14,81.3,116.1,-34.9,12.5,1.00,25.0,0.0,23.1,12.5,25.0,100,79.8,9.4,110.90
Damian Lillard,POR,POR @ DAL,04/15/2015,L,29,72.7,106.2,-33.4,15.4,0.33,9.1,2.5,8.3,4.7,27.3,50.0,60.4,26.0,110.19
Marvin Williams,CHA,CHA @ TOR,04/15/2015,L,25,95.3,133.3,-38.0,0.0,0.00,0.0,0.0,16.7,6.7,0.0,57.1,57.1,15.2,82.59
Festus Ezeli,GSW,GSW vs. DEN,04/15/2015,W,15,100.0,134.4,-34.4,0.0,0.00,0.0,11.8,7.7,10.0,11.1,60.0,58.9,23.1,102.86
Terrence Jones,HOU,HOU vs. UTA,04/15/2015,W,20,122.2,77.8,44.4,23.1,3.00,25.0,0.0,5.7,4.1,8.3,108.3,96.6,18.8,105.88
Jabari Brown,LAL,LAL vs. SAC,04/15/2015,L,48,99.0,123.2,-24.2,7.4,0.40,6.5,0.0,6.5,2.8,16.1,57.9,67.1,24.2,99.50
Meyers Leonard,POR,POR @ DAL,04/15/2015,L,26,100.0,94.8,5.2,0.0,0.00,0.0,6.9,20.6,14.3,12.5,42.9,47.0,12.3,106.39
Lorenzo Brown,MIN,MIN vs. OKC,04/15/2015,L,20,106.5,115.2,-8.7,10.0,1.00,8.3,4.8,10.5,7.5,8.3,65.0,65.0,20.0,110.19
Dewayne Dedmon,ORL,ORL @ BKN,04/15/2015,L,7,83.3,107.1,-23.8,0.0,0.00,0.0,0.0,40.0,13.3,50.0,100,100,12.5,95.19
CJ Miles,IND,IND @ MEM,04/15/2015,L,33,96.7,114.8,-18.0,0.0,0.00,0.0,0.0,7.7,3.6,0.0,56.8,57.9,32.4,87.98
Noah Vonleh,CHA,CHA @ TOR,04/15/2015,L,23,109.5,85.7,23.8,0.0,0.00,0.0,17.4,29.6,24.0,20.0,50.0,57.1,20.0,86.52
Chris Johnson,UTA,UTA @ HOU,04/15/2015,L,30,87.0,104.2,-17.3,0.0,0.00,0.0,0.0,6.5,3.0,9.1,65.0,65.0,14.3,111.38
Dwight Howard,HOU,HOU vs. UTA,04/15/2015,W,21,113.6,65.9,47.7,0.0,0.00,0.0,10.0,19.4,15.7,18.2,85.7,79.9,21.6,99.54
Aaron Brooks,CHI,CHI vs. ATL,04/15/2015,W,33,101.5,86.8,14.7,21.4,0.75,11.5,0.0,17.6,9.0,15.4,50.0,56.9,30.7,98.68
Stephen Curry,GSW,GSW vs. DEN,04/15/2015,W,19,139.1,111.1,28.0,36.8,3.50,36.8,10.5,9.1,9.8,10.5,50.0,50.0,23.1,112.97
Andre Drummond,DET,DET @ NYK,04/15/2015,W,22,117.8,115.6,2.2,0.0,0.00,0.0,26.1,35.3,30.0,6.3,58.3,58.1,30.8,96.86
Jeff Ayres,SAS,SAS @ NOP,04/15/2015,L,0,250.0,100.0,150.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,100,50.0,295.38
Jeff Teague,ATL,ATL @ CHI,04/15/2015,L,23,90.0,80.0,10.0,26.7,1.33,22.2,0.0,9.1,4.1,16.7,45.5,45.5,25.5,105.80
Justin Holiday,GSW,GSW vs. DEN,04/15/2015,W,20,116.7,116.7,0.0,28.6,4.00,26.7,5.9,6.3,6.1,6.7,57.1,72.6,23.9,102.34
Tim Hardaway Jr.,NYK,NYK vs. DET,04/15/2015,L,34,87.1,117.6,-30.5,14.3,1.00,10.5,3.1,6.3,4.7,10.5,79.2,80.5,22.7,98.87
Steven Adams,OKC,OKC @ MIN,04/15/2015,W,21,147.7,106.8,40.9,0.0,0.00,0.0,12.5,5.9,9.8,0.0,100,90.2,6.9,98.78
Anthony Davis,NOP,NOP vs. SAS,04/15/2015,W,43,116.5,103.5,13.0,7.4,0.33,5.3,5.1,34.4,18.3,15.8,46.2,51.7,37.9,95.04
Jack Cooley,UTA,UTA @ HOU,04/15/2015,L,18,104.8,83.3,21.4,0.0,0.00,0.0,12.5,21.4,15.8,0.0,42.9,43.5,18.0,115.42
Steve Blake,POR,POR @ DAL,04/15/2015,L,26,106.6,103.4,3.2,25.0,1.67,31.3,0.0,9.7,5.4,18.8,87.5,87.5,16.4,109.42
Dante Cunningham,NOP,NOP vs. SAS,04/15/2015,W,14,125.0,114.3,10.7,0.0,0.00,0.0,0.0,12.5,5.3,0.0,100,100,3.4,95.73
Bernard James,DAL,DAL vs. POR,04/15/2015,W,5,133.3,133.3,0.0,0.0,0.00,0.0,28.6,50.0,33.3,0.0,50.0,61.5,15.4,89.38
Raymond Felton,DAL,DAL vs. POR,04/15/2015,W,22,95.8,100.0,-4.2,30.8,0.00,28.6,3.3,10.0,6.0,0.0,50.0,50.6,17.9,105.05
Evan Turner,BOS,BOS @ MIL,04/15/2015,W,18,100.0,108.1,-8.1,46.2,2.00,40.0,0.0,11.8,5.6,20.0,60.0,59.5,20.5,100.09
Arinze Onuaku,MIN,MIN vs. OKC,04/15/2015,L,26,107.4,150.9,-43.5,13.3,0.00,18.2,18.5,4.5,12.2,0.0,83.3,69.4,14.3,100.42
Joe Johnson,BKN,BKN vs. ORL,04/15/2015,W,41,110.1,85.9,24.2,23.1,0.00,28.6,0.0,17.5,8.8,0.0,53.3,51.8,17.0,92.19
Greg Monroe,DET,DET @ NYK,04/15/2015,W,21,111.6,102.2,9.5,7.1,1.00,9.1,0.0,11.8,5.1,9.1,42.9,57.1,20.4,99.70
Tyreke Evans,NOP,NOP vs. SAS,04/15/2015,W,34,112.5,101.5,11.0,57.9,0.00,42.3,3.3,11.1,7.0,0.0,63.3,63.3,20.5,92.46
E'Twaun Moore,CHI,CHI vs. ATL,04/15/2015,W,8,100.0,43.8,56.3,33.3,1.00,25.0,0.0,0.0,0.0,25.0,100,100,16.7,93.39
Kevin Seraphin,WAS,WAS @ CLE,04/15/2015,L,39,97.4,113.3,-16.0,9.1,0.40,10.0,7.0,26.5,15.6,25.0,46.2,44.6,20.5,94.09
Anthony Tolliver,DET,DET @ NYK,04/15/2015,W,30,120.3,78.0,42.4,0.0,0.00,0.0,0.0,20.0,10.9,10.0,55.6,55.6,15.2,93.88
Iman Shumpert,CLE,CLE vs. WAS,04/15/2015,W,29,130.8,94.4,36.3,11.1,0.00,13.3,3.8,14.3,9.8,0.0,70.8,69.9,21.3,86.68
Miles Plumlee,MIL,MIL vs. BOS,04/15/2015,L,21,104.8,123.8,-19.0,0.0,0.00,0.0,0.0,16.7,7.3,0.0,100,92.2,10.0,96.77
Richard Jefferson,DAL,DAL vs. POR,04/15/2015,W,19,126.2,63.6,62.6,0.0,0.00,0.0,7.7,4.2,5.4,16.7,75.0,82.0,13.3,111.17
Jeff Green,MEM,MEM vs. IND,04/15/2015,W,35,118.3,106.7,11.7,13.6,0.75,14.3,6.7,0.0,3.3,19.0,46.4,48.5,24.0,83.59
Kelly Olynyk,BOS,BOS @ MIL,04/15/2015,W,22,110.6,91.7,19.0,13.3,2.00,16.7,0.0,20.0,11.6,8.3,87.5,90.1,20.0,101.82
Nazr Mohammed,CHI,CHI vs. ATL,04/15/2015,W,7,116.7,61.5,55.1,0.0,0.00,0.0,20.0,20.0,20.0,0.0,100,100,7.1,88.63
Mike Miller,CLE,CLE vs. WAS,04/15/2015,W,18,105.6,100.0,5.6,0.0,0.00,0.0,0.0,8.7,4.5,0.0,75.0,75.0,5.0,94.17
Jimmy Butler,CHI,CHI vs. ATL,04/15/2015,W,41,95.2,90.4,4.8,13.6,0.00,14.3,2.9,10.6,7.3,0.0,50.0,58.5,19.6,98.41
Gigi Datome,BOS,BOS @ MIL,04/15/2015,W,28,110.9,125.0,-14.1,12.5,2.00,11.1,3.4,6.9,5.2,5.6,70.0,71.2,25.4,93.42
Jason Maxiell,CHA,CHA @ TOR,04/15/2015,L,16,103.4,93.3,10.1,0.0,0.00,0.0,5.6,33.3,18.2,50.0,100,100,5.4,88.04
Al-Farouq Aminu,DAL,DAL vs. POR,04/15/2015,W,33,97.2,100.0,-2.8,14.3,3.00,33.3,3.0,19.5,12.2,11.1,62.5,71.7,7.5,105.24
