Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
Jason Thompson,SAC,SAC vs. PHX,04/16/2014,L,21,97.8,80.4,17.3,0.0,0.00,0.0,5.0,37.0,23.4,18.2,44.4,44.4,23.4,103.26
Rasual Butler,IND,IND @ ORL,04/16/2014,W,38,120.0,97.1,22.9,18.5,0.00,25.0,0.0,5.0,2.6,0.0,69.2,64.4,17.9,88.45
Jodie Meeks,LAL,LAL @ SAS,04/16/2014,W,30,114.9,89.4,25.5,12.0,3.00,27.3,0.0,7.3,4.1,9.1,100,101.7,11.1,104.94
Samuel Dalembert,DAL,DAL @ MEM,04/16/2014,L,12,115.8,122.7,-6.9,0.0,0.00,0.0,11.1,16.7,14.3,50.0,50.0,50.0,19.0,85.81
Dwyane Wade,MIA,MIA vs. PHI,04/16/2014,L,23,95.7,104.3,-8.7,36.4,1.33,16.7,5.3,5.9,5.6,12.5,42.9,48.1,38.5,95.72
Ronny Turiaf,MIN,MIN vs. UTA,04/16/2014,L,16,105.9,105.7,0.2,0.0,0.00,0.0,18.8,35.7,26.7,18.2,60.0,70.4,27.5,104.26
Brandan Wright,DAL,DAL @ MEM,04/16/2014,L,25,115.6,86.7,28.9,0.0,0.00,0.0,9.5,4.3,6.8,0.0,100,100,9.6,87.50
Elton Brand,ATL,ATL @ MIL,04/16/2014,W,19,100.0,110.0,-10.0,8.3,1.00,25.0,0.0,7.7,3.6,25.0,50.0,50.0,7.7,96.66
Patrick Patterson,TOR,TOR @ NYK,04/16/2014,L,20,123.3,92.9,30.4,17.6,3.00,27.3,13.3,15.8,14.7,9.1,50.0,50.0,16.7,100.99
Dion Waiters,CLE,CLE vs. BKN,04/16/2014,W,27,120.8,94.3,26.4,11.1,1.00,11.1,3.7,3.7,3.7,11.1,66.7,69.0,25.4,94.63
Archie Goodwin,PHX,PHX @ SAC,04/16/2014,W,31,119.0,98.4,20.7,5.9,0.33,5.3,10.0,2.6,5.8,15.8,88.5,90.2,25.7,95.80
Adonis Thomas,PHI,PHI @ MIA,04/16/2014,W,5,155.6,130.0,25.6,25.0,0.00,33.3,0.0,0.0,0.0,0.0,75.0,75.0,22.2,85.50
Jamal Crawford,LAC,LAC @ POR,04/16/2014,L,42,108.0,112.4,-4.3,40.0,4.00,20.0,2.2,7.7,5.1,5.0,46.0,57.0,33.7,101.56
Jeff Adrien,MIL,MIL vs. ATL,04/16/2014,L,34,115.2,116.2,-1.0,16.0,1.33,28.6,7.7,20.8,14.0,21.4,60.0,59.2,13.7,94.59
Evan Turner,IND,IND @ ORL,04/16/2014,W,35,107.5,89.4,18.1,25.0,2.00,37.5,0.0,25.8,12.1,18.8,91.7,95.6,12.7,92.61
Jorge Gutierrez,BKN,BKN @ CLE,04/16/2014,L,33,85.5,122.1,-36.6,11.8,2.00,13.3,0.0,0.0,0.0,6.7,54.5,54.7,17.3,99.14
Manu Ginobili,SAS,SAS vs. LAL,04/16/2014,L,23,100.0,112.2,-12.2,27.8,2.50,31.3,0.0,4.8,2.0,12.5,55.6,55.6,19.6,103.60
Kentavious Caldwell-Pope,DET,DET @ OKC,04/16/2014,L,44,119.1,113.6,5.5,0.0,0.00,0.0,7.0,6.0,6.5,0.0,71.1,70.8,20.2,97.45
Ed Davis,MEM,MEM vs. DAL,04/16/2014,W,12,77.3,142.9,-65.6,0.0,0.00,0.0,16.7,20.0,18.2,50.0,100,100,14.8,84.82
Marcus Morris Sr.,PHX,PHX @ SAC,04/16/2014,W,31,119.0,98.4,20.7,0.0,0.00,0.0,3.3,12.8,8.7,5.0,53.3,59.4,28.6,95.80
Thabo Sefolosha,OKC,OKC vs. DET,04/16/2014,W,26,113.2,91.1,22.1,17.6,0.00,27.3,3.3,11.5,7.1,0.0,42.9,44.4,11.9,102.21
Klay Thompson,GSW,GSW @ DEN,04/16/2014,W,8,127.8,76.5,51.3,20.0,0.00,16.7,0.0,11.1,6.7,0.0,80.0,80.0,26.3,110.50
Mike Muscala,ATL,ATL @ MIL,04/16/2014,W,25,110.0,102.0,8.0,21.4,1.50,21.4,0.0,16.0,8.9,14.3,75.0,80.5,20.8,95.68
Greg Monroe,DET,DET @ OKC,04/16/2014,L,38,113.0,122.1,-9.1,36.0,2.25,25.0,5.1,15.0,10.1,11.1,47.4,47.9,29.7,97.65
Richard Jefferson,UTA,UTA @ MIN,04/16/2014,W,27,119.6,98.2,21.4,9.5,0.00,13.3,4.2,3.7,3.9,0.0,45.8,42.7,19.7,101.76
Robbie Hummel,MIN,MIN vs. UTA,04/16/2014,L,32,130.8,111.8,19.0,4.3,0.00,14.3,7.4,23.3,15.8,0.0,80.0,85.0,7.8,100.01
Ognjen Kuzmic,GSW,GSW @ DEN,04/16/2014,W,31,105.8,118.8,-13.0,0.0,0.00,0.0,5.6,15.6,10.3,0.0,100,79.8,5.3,107.83
Nick Calathes,MEM,MEM vs. DAL,04/16/2014,W,11,105.0,140.0,-35.0,14.3,1.00,25.0,9.1,0.0,4.5,25.0,75.0,75.0,12.0,85.33
Joel Freeland,POR,POR vs. LAC,04/16/2014,W,18,100.0,102.9,-2.9,25.0,0.00,22.2,8.0,31.3,17.1,0.0,42.9,42.9,15.9,90.51
Jeremy Evans,UTA,UTA @ MIN,04/16/2014,W,38,110.5,103.9,6.6,0.0,0.00,0.0,14.0,12.5,13.3,22.2,61.5,64.8,19.1,95.71
Nene,WAS,WAS @ BOS,04/16/2014,W,22,120.0,113.6,6.4,17.6,1.50,23.1,5.9,9.5,7.9,15.4,83.3,77.3,20.4,95.57
Gerald Green,PHX,PHX @ SAC,04/16/2014,W,17,80.6,105.6,-25.0,0.0,0.00,0.0,0.0,21.4,8.8,0.0,54.5,54.5,29.7,103.58
Ray Allen,MIA,MIA vs. PHI,04/16/2014,L,24,95.9,110.9,-15.0,27.3,3.00,20.0,0.0,17.6,7.1,6.7,50.0,51.1,21.1,95.00
James Anderson,PHI,PHI @ MIA,04/16/2014,W,18,105.3,87.2,18.1,16.7,0.00,25.0,0.0,18.8,10.3,0.0,80.0,85.0,15.4,101.35
Tyler Zeller,CLE,CLE vs. BKN,04/16/2014,W,26,120.4,89.1,31.3,11.8,0.00,13.3,16.7,21.9,19.6,0.0,81.8,83.3,21.3,99.66
Randy Foye,DEN,DEN vs. GSW,04/16/2014,L,43,104.2,108.3,-4.2,45.8,2.20,26.2,0.0,4.2,2.1,11.9,54.8,60.9,29.0,108.21
Chris Copeland,IND,IND @ ORL,04/16/2014,W,26,102.0,106.1,-4.1,15.4,1.00,10.0,3.3,6.5,4.9,10.0,59.4,59.4,30.5,90.06
