Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
Rudy Gay,MEM,MEM @ OKC,04/14/2010,L,44,105.7,123.0,-17.2,12.5,3.00,10.3,2.2,10.8,6.1,3.4,42.9,50.1,25.7,96.11
Joakim Noah,CHI,CHI @ CHA,04/14/2010,W,38,109.5,98.6,10.8,19.0,0.80,16.7,10.7,27.0,20.0,20.8,63.6,70.2,24.4,94.33
DeAndre Jordan,LAC,LAC vs. LAL,04/14/2010,W,32,113.8,81.8,32.0,0.0,0.00,0.0,6.5,20.6,13.8,22.2,83.3,87.2,12.7,99.23
J.J. Barea,DAL,DAL vs. SAS,04/14/2010,W,20,97.6,97.5,0.1,7.7,1.00,16.7,0.0,15.0,7.9,16.7,50.0,50.0,11.1,99.18
Channing Frye,PHX,PHX @ UTA,04/14/2010,W,29,105.1,74.6,30.5,5.6,0.00,7.1,4.2,13.9,10.0,0.0,57.7,57.7,20.6,96.82
George Hill,SAS,SAS @ DAL,04/14/2010,L,5,81.8,63.6,18.2,0.0,0.00,0.0,0.0,0.0,0.0,0.0,60.0,60.0,38.5,99.31
Othyus Jeffers,UTA,UTA vs. PHX,04/14/2010,L,9,143.8,100.0,43.8,0.0,0.00,0.0,0.0,33.3,22.2,33.3,100,102.5,18.8,88.16
Rasho Nesterovic,TOR,TOR vs. NYK,04/14/2010,W,7,106.3,133.3,-27.1,33.3,2.00,40.0,16.7,0.0,8.3,20.0,50.0,50.0,17.6,113.30
Sasha Vujacic,LAL,LAL @ LAC,04/14/2010,L,15,100.0,106.3,-6.3,0.0,0.00,0.0,0.0,7.1,3.7,0.0,42.9,50.8,22.9,100.13
Andrea Bargnani,TOR,TOR vs. NYK,04/14/2010,W,34,143.5,105.8,37.7,17.2,1.67,20.0,0.0,9.5,6.8,12.0,66.7,71.6,27.8,98.52
Marcin Gortat,ORL,ORL vs. PHI,04/14/2010,W,16,121.9,143.8,-21.9,0.0,0.00,0.0,18.2,28.6,24.0,11.1,83.3,92.6,25.7,98.04
Jermaine Taylor,HOU,HOU vs. NOH,04/14/2010,L,6,100.0,127.3,-27.3,25.0,0.00,25.0,0.0,25.0,8.3,0.0,50.0,52.1,21.4,87.03
Kirk Hinrich,CHI,CHI @ CHA,04/14/2010,W,34,95.4,83.3,12.1,15.8,1.00,23.1,0.0,5.3,3.1,23.1,57.1,57.1,13.7,91.65
Roy Hibbert,IND,IND @ WAS,04/14/2010,L,29,108.6,98.3,10.3,0.0,0.00,0.0,7.1,21.7,13.7,0.0,62.5,69.6,31.3,96.42
Lester Hudson,MEM,MEM @ OKC,04/14/2010,L,2,225.0,125.0,100.0,33.3,0.00,50.0,0.0,0.0,0.0,0.0,100,100,25.0,109.71
David Lee,NYK,NYK @ TOR,04/14/2010,L,33,120.3,132.9,-12.6,25.0,1.00,17.9,16.7,26.3,20.0,17.9,47.1,51.9,28.4,101.40
Leon Powe,CLE,CLE @ ATL,04/14/2010,L,21,83.3,104.8,-21.4,0.0,0.00,0.0,12.5,16.7,13.9,0.0,42.9,34.2,18.8,94.95
