Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
Patrick McCaw,GSW,GSW vs. LAL,04/12/2017,W,28,82.8,81.0,1.9,6.3,1.00,6.7,5.7,5.3,5.5,6.7,45.8,50.5,19.2,108.66
Marshall Plumlee,NYK,NYK vs. PHI,04/12/2017,W,27,120.0,100.0,20.0,0.0,0.00,0.0,14.3,21.2,18.0,20.0,63.6,58.9,21.7,101.63
Willie Reed,MIA,MIA vs. WAS,04/12/2017,W,15,110.3,93.3,17.0,0.0,0.00,0.0,30.0,23.1,26.1,10.0,88.9,88.9,30.3,95.78
David Nwaba,LAL,LAL @ GSW,04/12/2017,L,25,93.0,89.5,3.5,9.1,2.00,28.6,0.0,9.4,4.5,14.3,50.0,51.2,7.7,108.00
Jodie Meeks,ORL,ORL vs. DET,04/12/2017,W,18,67.5,117.9,-50.4,14.3,0.50,8.3,0.0,0.0,0.0,16.7,64.3,68.5,25.6,104.65
Alex Poythress,PHI,PHI @ NYK,04/12/2017,L,32,113.6,121.2,-7.6,4.5,0.00,6.7,8.8,7.9,8.3,0.0,64.3,64.3,17.5,100.36
Jakob Poeltl,TOR,TOR @ CLE,04/12/2017,W,23,95.3,95.7,-0.3,16.7,0.00,33.3,8.3,13.0,10.6,0.0,100,90.2,8.3,93.33
Omri Casspi,MIN,MIN @ HOU,04/12/2017,L,19,100.0,122.5,-22.5,12.5,0.00,33.3,7.4,5.0,6.4,0.0,50.0,50.0,7.8,103.40
Josh Huestis,OKC,OKC vs. DEN,04/12/2017,L,24,113.0,103.7,9.3,9.1,0.00,22.2,8.0,10.0,9.1,0.0,50.0,47.0,11.3,108.00
LaMarcus Aldridge,SAS,SAS @ UTA,04/12/2017,L,35,103.1,101.6,1.6,0.0,0.00,0.0,6.7,10.0,8.3,6.7,64.3,64.3,20.3,89.09
Salah Mejri,DAL,DAL @ MEM,04/12/2017,W,12,147.4,121.1,26.3,0.0,0.00,0.0,10.0,10.0,10.0,0.0,125.0,104.2,13.0,77.73
Willy Hernangomez,NYK,NYK vs. PHI,04/12/2017,W,18,111.1,125.7,-14.6,37.5,1.50,30.0,13.6,35.0,23.8,20.0,50.0,75.4,16.3,93.97
Blake Griffin,LAC,LAC vs. SAC,04/12/2017,W,34,137.7,106.5,31.3,33.3,0.00,34.8,7.4,21.9,15.3,0.0,42.9,49.0,22.4,87.73
Jose Calderon,ATL,ATL @ IND,04/12/2017,L,30,103.5,121.4,-17.9,29.4,1.67,31.3,0.0,8.0,4.2,18.8,75.0,75.0,17.2,91.83
Amir Johnson,BOS,BOS vs. MIL,04/12/2017,W,19,115.4,94.9,20.5,9.1,0.00,11.1,9.5,13.0,11.4,0.0,100,96.2,17.8,97.93
Rodney McGruder,MIA,MIA vs. WAS,04/12/2017,W,20,104.8,107.3,-2.6,13.3,1.00,33.3,10.5,0.0,5.1,33.3,50.0,50.0,8.5,97.57
Mike Muscala,ATL,ATL @ IND,04/12/2017,L,20,92.9,125.6,-32.8,25.0,2.00,18.2,0.0,17.6,8.6,9.1,57.1,63.5,20.5,96.08
