Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
E'Twaun Moore,PHX,PHX @ SAS,05/16/2021,W,21,115.6,138.6,-23.1,14.3,1.00,13.3,4.5,5.3,4.9,13.3,100,101.1,25.0,104.03
Tacko Fall,BOS,BOS @ NYK,05/16/2021,L,17,84.8,103.0,-18.2,0.0,0.00,0.0,17.4,21.1,19.0,0.0,50.0,52.1,7.5,95.50
Chimezie Metu,SAC,SAC vs. UTA,05/16/2021,L,32,95.8,112.9,-17.1,0.0,0.00,0.0,3.0,21.9,12.3,0.0,40.0,40.0,13.3,106.19
Saben Lee,DET,DET vs. MIA,05/16/2021,L,28,128.6,124.1,4.4,29.2,3.50,41.2,0.0,8.3,4.0,11.8,62.5,62.5,15.9,98.77
Kevin Durant,BKN,BKN vs. CLE,05/16/2021,W,29,143.3,95.0,48.3,52.0,6.50,48.1,0.0,25.0,15.7,7.4,85.0,91.0,22.6,99.60
Shake Milton,PHI,PHI vs. ORL,05/16/2021,W,26,132.1,118.9,13.2,42.9,0.00,40.9,0.0,16.0,8.5,0.0,57.7,57.7,22.4,99.38
Yogi Ferrell,LAC,LAC @ OKC,05/16/2021,L,27,107.4,122.6,-15.2,11.1,0.00,13.3,6.1,15.6,10.8,0.0,50.0,54.3,20.3,95.46
Jahlil Okafor,DET,DET vs. MIA,05/16/2021,L,24,97.9,117.0,-19.1,0.0,0.00,0.0,4.2,22.2,11.9,16.7,60.0,64.3,11.1,93.89
Ryan Arcidiacono,CHI,CHI vs. MIL,05/16/2021,W,17,130.6,88.9,41.7,13.3,2.00,22.2,0.0,22.2,12.1,11.1,116.7,116.7,17.9,103.27
Juancho Hernangomez,MIN,MIN vs. DAL,05/16/2021,W,11,159.1,112.0,47.1,16.7,2.00,40.0,0.0,9.1,5.9,20.0,50.0,50.0,12.5,105.92
Bruno Fernando,ATL,ATL vs. HOU,05/16/2021,W,21,104.5,78.3,26.3,6.3,0.00,8.3,4.8,24.2,16.7,0.0,40.0,46.0,21.6,101.73
Jabari Parker,BOS,BOS @ NYK,05/16/2021,L,27,113.5,100.0,13.5,11.8,0.00,13.3,3.7,23.1,13.2,0.0,65.0,71.2,21.3,91.90
Mikal Bridges,PHX,PHX @ SAS,05/16/2021,W,5,145.5,66.7,78.8,25.0,0.00,25.0,0.0,12.5,8.3,0.0,116.7,116.7,25.0,102.54
Stephen Curry,GSW,GSW vs. MEM,05/16/2021,W,40,121.7,104.8,16.9,42.9,1.29,16.7,2.9,14.0,9.0,13.0,56.9,59.5,47.4,99.72
Russell Westbrook,WAS,WAS vs. CHA,05/16/2021,W,40,111.5,100.0,11.5,33.3,3.33,29.4,7.1,23.5,16.1,8.8,46.7,56.7,24.0,104.52
T.J. McConnell,IND,IND @ TOR,05/16/2021,W,40,120.5,106.9,13.6,48.6,8.50,58.6,2.6,8.0,5.7,6.9,60.0,60.0,12.4,105.97
Bismack Biyombo,CHA,CHA @ WAS,05/16/2021,L,5,36.4,118.2,-81.8,0.0,0.00,0.0,11.1,20.0,14.3,0.0,100,100,7.1,101.18
Torrey Craig,PHX,PHX @ SAS,05/16/2021,W,30,114.9,106.2,8.8,14.3,0.00,26.7,6.3,12.5,9.4,0.0,50.0,50.0,14.9,106.85
Max Strus,MIA,MIA @ DET,05/16/2021,W,36,124.3,120.5,3.8,7.1,0.00,10.0,0.0,10.8,5.9,0.0,53.1,56.3,22.5,98.92
Kyrie Irving,BKN,BKN vs. CLE,05/16/2021,W,29,143.3,95.0,48.3,7.7,2.00,14.3,0.0,18.8,11.8,7.1,77.3,77.3,19.4,99.60
Timothe Luwawu-Cabarrot,BKN,BKN vs. CLE,05/16/2021,W,7,100.0,126.7,-26.7,33.3,0.00,25.0,0.0,0.0,0.0,0.0,116.7,116.7,18.8,97.80
Nic Claxton,BKN,BKN vs. CLE,05/16/2021,W,23,97.9,108.2,-10.3,0.0,0.00,0.0,8.7,11.1,10.0,20.0,50.0,50.0,10.0,101.50
Buddy Hield,SAC,SAC vs. UTA,05/16/2021,L,31,98.5,125.0,-26.5,40.9,9.00,39.1,3.3,20.0,11.7,4.3,45.8,48.8,20.3,100.79
Garrett Temple,CHI,CHI vs. MIL,05/16/2021,W,29,104.7,115.6,-10.9,14.3,1.50,30.0,4.0,6.1,5.2,20.0,70.0,70.0,10.1,107.29
Robin Lopez,WAS,WAS vs. CHA,05/16/2021,W,27,136.5,94.3,42.2,5.6,0.50,7.1,18.2,6.5,11.3,14.3,81.8,81.8,22.4,95.03
Jeff Teague,MIL,MIL @ CHI,05/16/2021,L,34,113.3,112.3,1.0,29.2,3.50,26.9,0.0,10.7,4.5,7.7,59.1,70.6,22.6,105.61
JaVale McGee,DEN,DEN @ POR,05/16/2021,L,15,115.6,100.0,15.6,20.0,0.00,16.7,19.0,20.0,19.5,0.0,44.4,45.5,25.6,102.74
Patrick Beverley,LAC,LAC @ OKC,05/16/2021,L,19,118.6,123.8,-5.2,28.6,0.00,30.8,0.0,0.0,0.0,0.0,62.5,61.9,19.6,108.13
Nassir Little,POR,POR vs. DEN,05/16/2021,W,6,93.3,131.3,-37.9,25.0,0.00,33.3,0.0,9.1,5.6,0.0,100,100,13.3,118.72
D.J. Augustin,HOU,HOU @ ATL,05/16/2021,L,22,100.0,128.6,-28.6,55.6,2.50,25.0,3.8,15.0,8.7,10.0,63.6,70.5,28.3,106.83
Jay Scrubb,LAC,LAC @ OKC,05/16/2021,L,36,112.2,119.2,-7.0,3.7,1.00,5.3,4.3,13.2,8.3,5.3,41.2,41.2,20.0,97.68
Alec Burks,NYK,NYK vs. BOS,05/16/2021,W,25,98.0,96.0,2.0,0.0,0.00,0.0,3.7,17.2,10.7,16.7,85.0,85.0,21.4,95.56
Jusuf Nurkic,POR,POR vs. DEN,05/16/2021,W,20,146.5,115.9,30.6,14.3,0.67,11.8,28.6,37.5,34.2,17.6,85.0,79.1,30.6,102.52
Luka Doncic,DAL,DAL @ MIN,05/16/2021,L,21,106.8,137.8,-31.0,54.5,1.50,24.0,0.0,25.0,14.0,16.0,53.8,59.2,38.0,103.00
Jevon Carter,PHX,PHX @ SAS,05/16/2021,W,43,122.0,115.2,6.8,23.7,4.50,27.3,6.4,15.2,10.8,6.1,43.2,43.2,23.1,103.26
Mfiondu Kabengele,CLE,CLE @ BKN,05/16/2021,L,18,107.5,94.9,12.6,7.7,1.00,12.5,15.8,35.0,25.6,12.5,60.0,68.0,15.2,103.70
Jordan McLaughlin,MIN,MIN vs. DAL,05/16/2021,W,11,150.0,145.0,5.0,37.5,0.00,50.0,0.0,0.0,0.0,0.0,116.7,116.7,15.8,86.72
Coby White,CHI,CHI vs. MIL,05/16/2021,W,31,102.9,117.6,-14.7,26.3,1.25,20.8,0.0,13.9,7.7,16.7,61.5,64.4,25.0,105.16
DeAndre' Bembry,TOR,TOR vs. IND,05/16/2021,L,42,108.6,118.9,-10.3,14.8,2.00,13.3,2.0,9.5,5.5,6.7,43.2,48.4,24.3,106.67
Obi Toppin,NYK,NYK vs. BOS,05/16/2021,W,10,144.4,110.5,33.9,0.0,0.00,0.0,0.0,20.0,9.1,0.0,60.0,60.0,21.7,85.25
JaMychal Green,DEN,DEN @ POR,05/16/2021,L,21,128.6,153.7,-25.1,0.0,0.00,0.0,6.3,7.7,6.9,0.0,110.0,110.0,11.1,92.94
Dennis Schroder,LAL,LAL @ NOP,05/16/2021,W,29,110.2,111.9,-1.7,18.2,0.00,26.7,0.0,10.7,5.2,0.0,54.5,54.5,16.9,99.02
Serge Ibaka,LAC,LAC @ OKC,05/16/2021,L,19,115.4,121.1,-5.7,15.4,0.00,14.3,9.1,27.8,17.5,0.0,45.0,51.0,27.3,98.47
Dwight Powell,DAL,DAL @ MIN,05/16/2021,L,28,128.6,152.7,-24.2,33.3,8.00,61.5,13.6,13.3,13.5,7.7,66.7,77.3,7.8,96.48
Damyean Dotson,CLE,CLE @ BKN,05/16/2021,L,28,103.3,113.6,-10.3,17.6,0.75,18.8,0.0,3.7,1.8,25.0,94.4,94.4,18.8,101.71
Aron Baynes,TOR,TOR vs. IND,05/16/2021,L,26,105.2,111.9,-6.7,0.0,0.00,0.0,6.1,25.0,15.4,7.7,59.1,58.9,18.3,108.00
Austin Rivers,DEN,DEN @ POR,05/16/2021,L,21,114.3,153.7,-39.4,18.8,0.00,37.5,0.0,14.3,5.1,0.0,40.0,40.0,10.6,96.93
Kyle Kuzma,LAL,LAL @ NOP,05/16/2021,W,27,98.2,87.5,10.7,15.0,0.00,33.3,0.0,26.1,10.5,0.0,60.0,68.0,9.0,102.02
Onyeka Okongwu,ATL,ATL vs. HOU,05/16/2021,W,33,128.2,102.8,25.4,12.0,3.00,16.7,18.2,23.1,20.8,5.6,76.9,73.3,18.5,104.32
Alize Johnson,BKN,BKN vs. CLE,05/16/2021,W,3,100.0,125.0,-25.0,0.0,0.00,0.0,25.0,0.0,14.3,0.0,50.0,50.0,25.0,104.85
Cole Anthony,ORL,ORL @ PHI,05/16/2021,L,38,112.5,130.5,-18.0,11.1,0.33,5.1,5.7,17.1,11.4,15.4,46.0,59.4,42.0,102.77
Grant Williams,BOS,BOS @ NYK,05/16/2021,L,26,83.0,121.6,-38.5,18.2,1.00,16.7,3.6,22.7,12.0,16.7,75.0,77.0,16.9,97.47
Jonas Valanciunas,MEM,MEM @ GSW,05/16/2021,L,36,108.0,127.0,-19.0,5.0,1.00,5.0,16.2,32.3,23.5,5.0,80.0,82.2,21.8,100.73
Rudy Gay,SAS,SAS vs. PHX,05/16/2021,L,20,109.3,106.7,2.6,18.8,0.00,23.1,0.0,28.6,15.4,0.0,55.6,60.7,22.2,105.69
Josh Jackson,DET,DET vs. MIA,05/16/2021,L,24,110.6,124.5,-13.9,20.0,1.50,13.6,3.8,9.5,6.4,9.1,46.7,49.4,36.5,95.40
Jaden McDaniels,MIN,MIN vs. DAL,05/16/2021,W,32,140.3,119.7,20.6,7.7,1.00,11.8,6.7,3.3,5.0,11.8,73.1,73.1,19.7,98.55
Miye Oni,UTA,UTA @ SAC,05/16/2021,W,14,132.3,73.3,58.9,7.7,0.00,50.0,0.0,0.0,0.0,0.0,150.0,150.0,3.0,103.10
Nerlens Noel,NYK,NYK vs. BOS,05/16/2021,W,32,95.4,93.9,1.4,0.0,0.00,0.0,0.0,17.1,9.5,0.0,50.0,50.0,3.0,98.18
P.J. Washington,CHA,CHA @ WAS,05/16/2021,L,30,106.0,103.0,3.0,21.1,2.00,25.0,2.6,24.2,12.7,12.5,55.0,55.0,15.6,105.89
Moses Brown,OKC,OKC vs. LAC,05/16/2021,W,38,108.6,108.6,0.0,12.0,0.00,13.6,21.6,18.5,19.8,0.0,63.2,63.2,20.7,102.72
Terance Mann,LAC,LAC @ OKC,05/16/2021,L,23,135.4,98.0,37.4,5.6,0.00,9.1,0.0,8.7,3.9,0.0,93.8,93.1,16.9,101.31
Frank Ntilikina,NYK,NYK vs. BOS,05/16/2021,W,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.39
Devonte' Graham,CHA,CHA @ WAS,05/16/2021,L,31,110.8,120.0,-9.2,10.5,2.00,13.3,0.0,8.0,3.3,6.7,55.0,63.8,17.6,101.15
RJ Barrett,NYK,NYK vs. BOS,05/16/2021,W,33,101.5,91.0,10.5,13.3,2.00,11.1,0.0,11.4,6.3,5.6,66.7,70.9,23.9,95.53
Rayjon Tucker,PHI,PHI vs. ORL,05/16/2021,W,18,92.3,122.5,-30.2,12.5,1.00,11.1,0.0,16.7,6.1,11.1,80.0,69.4,19.5,107.42
T.J. Leaf,POR,POR vs. DEN,05/16/2021,W,6,76.9,150.0,-73.1,0.0,0.00,0.0,0.0,12.5,6.7,0.0,0.0,0.0,7.7,118.18
Royce O'Neale,UTA,UTA @ SAC,05/16/2021,W,28,116.7,100.0,16.7,9.5,1.00,16.7,0.0,6.9,3.5,16.7,57.1,57.1,14.7,103.53
Ish Smith,WAS,WAS vs. CHA,05/16/2021,W,32,127.3,103.0,24.3,26.9,7.00,36.8,3.6,17.5,11.8,5.3,63.6,63.6,15.8,99.57
George Hill,PHI,PHI vs. ORL,05/16/2021,W,23,139.6,115.2,24.4,20.0,0.00,40.0,0.0,4.3,2.4,0.0,108.3,108.7,11.8,100.42
Ben McLemore,LAL,LAL @ NOP,05/16/2021,W,2,75.0,66.7,8.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.55
Dillon Brooks,MEM,MEM @ GSW,05/16/2021,L,30,117.5,103.1,14.4,27.3,0.00,26.1,0.0,6.7,3.4,0.0,46.4,52.7,24.3,102.69
Jordan Nwora,MIL,MIL @ CHI,05/16/2021,L,36,103.8,115.0,-11.3,0.0,0.00,0.0,10.0,28.6,18.7,10.7,69.6,68.7,31.1,107.01
Enes Freedom,POR,POR vs. DEN,05/16/2021,W,22,140.5,110.0,30.5,0.0,0.00,0.0,17.4,47.8,32.6,12.5,100,97.2,15.7,88.85
Ivica Zubac,LAC,LAC @ OKC,05/16/2021,L,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.00
Luke Kennard,LAC,LAC @ OKC,05/16/2021,L,30,103.1,109.4,-6.3,4.5,0.00,6.7,0.0,9.7,4.1,0.0,46.4,46.4,17.9,103.49
Oshae Brissett,IND,IND @ TOR,05/16/2021,W,36,114.8,103.8,11.1,12.0,0.00,13.0,2.8,20.0,12.3,0.0,78.1,77.7,22.5,107.04
Bruce Brown,BKN,BKN vs. CLE,05/16/2021,W,26,149.1,101.9,47.1,15.4,4.00,30.8,0.0,14.3,9.5,7.7,80.0,78.5,16.7,98.44
Boban Marjanovic,DAL,DAL @ MIN,05/16/2021,L,4,90.0,100.0,-10.0,33.3,1.00,25.0,0.0,0.0,0.0,25.0,0.0,85.2,25.0,111.20
Cory Joseph,DET,DET vs. MIA,05/16/2021,L,31,109.8,123.0,-13.1,26.3,2.50,23.8,3.1,12.5,7.1,9.5,50.0,50.0,23.2,95.12
Nemanja Bjelica,MIA,MIA @ DET,05/16/2021,W,38,120.8,103.9,16.9,21.4,3.00,27.3,7.7,10.0,9.1,9.1,76.9,75.6,19.5,97.43
Naz Reid,MIN,MIN vs. DAL,05/16/2021,W,17,116.2,116.7,-0.5,0.0,0.00,0.0,7.1,17.4,13.5,0.0,121.4,121.4,17.9,104.14
Reggie Perry,BKN,BKN vs. CLE,05/16/2021,W,3,100.0,125.0,-25.0,0.0,0.00,0.0,0.0,33.3,14.3,0.0,0.0,0.0,12.5,104.85
Jae'Sean Tate,HOU,HOU @ ATL,05/16/2021,L,21,104.4,115.6,-11.1,38.5,2.50,33.3,0.0,15.8,6.8,13.3,50.0,44.4,20.0,102.21
Skylar Mays,ATL,ATL vs. HOU,05/16/2021,W,27,111.9,86.0,25.9,33.3,7.00,36.8,0.0,11.4,6.2,5.3,72.7,72.7,17.4,102.23
Jarrell Brantley,UTA,UTA @ SAC,05/16/2021,W,3,50.0,125.0,-75.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.18
Killian Hayes,DET,DET vs. MIA,05/16/2021,L,31,106.2,121.9,-15.7,19.0,1.33,26.7,0.0,0.0,0.0,20.0,57.1,63.5,15.1,100.19
