Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Garrison Mathews,WAS,WAS vs. CHA,05/16/2021,W,8,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,1,0,1,14
Dorian Finney-Smith,DAL,DAL @ MIN,05/16/2021,L,28,15,6,9,66.7,3,5,60.0,0,0,-,1,3,4,1,0,0,3,1,-14
Matt Thomas,UTA,UTA @ SAC,05/16/2021,W,3,0,0,2,0.0,0,0,-,0,0,-,0,1,1,0,1,0,1,0,-6
Andre Drummond,LAL,LAL @ NOP,05/16/2021,W,21,13,6,11,54.5,0,0,-,1,3,33.3,5,8,13,0,2,2,2,5,-1
Gary Harris,ORL,ORL @ PHI,05/16/2021,L,14,7,3,5,60.0,0,2,0.0,1,1,100,0,0,0,2,0,0,1,1,-14
Carmelo Anthony,POR,POR vs. DEN,05/16/2021,W,22,10,3,10,30.0,2,5,40.0,2,2,100,0,2,2,3,0,0,0,2,14
Collin Sexton,CLE,CLE @ BKN,05/16/2021,L,20,16,5,11,45.5,1,4,25.0,5,5,100,0,2,2,5,1,0,1,2,-7
Alize Johnson,BKN,BKN vs. CLE,05/16/2021,W,3,2,1,2,50.0,0,0,-,0,0,-,1,0,1,0,0,0,0,0,-3
Alfonzo McKinnie,LAL,LAL @ NOP,05/16/2021,W,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1
Damyean Dotson,CLE,CLE @ BKN,05/16/2021,L,28,17,7,9,77.8,3,5,60.0,0,0,-,0,1,1,3,0,0,4,1,-4
Zeke Nnaji,DEN,DEN @ POR,05/16/2021,L,13,6,2,2,100,2,2,100,0,0,-,1,4,5,0,0,0,0,1,4
LaMelo Ball,CHA,CHA @ WAS,05/16/2021,L,33,19,7,21,33.3,2,8,25.0,3,4,75.0,2,5,7,5,2,0,1,1,-2
Dwayne Bacon,ORL,ORL @ PHI,05/16/2021,L,27,9,3,7,42.9,0,1,0.0,3,4,75.0,2,5,7,2,0,0,0,1,-25
Pat Connaughton,MIL,MIL @ CHI,05/16/2021,L,25,15,5,10,50.0,2,7,28.6,3,3,100,0,1,1,0,2,0,0,0,-11
KZ Okpala,MIA,MIA @ DET,05/16/2021,W,34,17,6,9,66.7,0,1,0.0,5,5,100,1,4,5,2,2,2,2,4,9
Naz Reid,MIN,MIN vs. DAL,05/16/2021,W,17,17,7,7,100,3,3,100,0,0,-,1,4,5,0,0,0,0,3,1
Moses Brown,OKC,OKC vs. LAC,05/16/2021,W,38,24,12,19,63.2,0,0,-,0,0,-,8,10,18,3,0,7,0,0,0
