Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
Mike Conley,UTA,UTA @ POR,04/10/2022,W,26,83.6,54.5,29.1,55.6,5.00,25.0,0.0,6.7,3.5,5.0,50.0,50.4,23.8,103.13
Nemanja Bjelica,GSW,GSW @ NOP,04/10/2022,W,23,137.8,113.3,24.4,28.0,2.33,53.8,21.4,17.4,18.9,23.1,66.7,66.7,11.8,94.46
Draymond Green,GSW,GSW @ NOP,04/10/2022,W,25,115.1,94.4,20.6,31.6,3.00,54.5,0.0,8.8,5.6,18.2,125.0,121.5,9.1,103.13
Patrick Williams,CHI,CHI @ MIN,04/10/2022,W,41,117.4,125.3,-7.8,16.7,0.80,11.1,0.0,10.0,5.2,13.9,54.8,64.4,31.4,100.98
Luka Garza,DET,DET @ PHI,04/10/2022,L,31,101.6,137.1,-35.5,28.6,4.00,16.0,20.0,13.0,17.2,4.0,50.0,48.4,28.0,97.31
Tyrese Maxey,PHI,PHI vs. DET,04/10/2022,W,23,108.7,129.2,-20.5,27.3,1.50,13.6,0.0,8.0,4.3,9.1,60.0,69.1,38.0,96.55
Jock Landale,SAS,SAS @ DAL,04/10/2022,L,5,100.0,120.0,-20.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,100,10.0,102.13
Brodric Thomas,BOS,BOS @ MEM,04/10/2022,W,8,111.1,122.2,-11.1,42.9,3.00,50.0,0.0,16.7,9.1,16.7,75.0,75.0,13.6,105.37
Jordan Poole,GSW,GSW @ NOP,04/10/2022,W,28,118.3,105.1,13.2,27.8,1.00,18.5,4.8,8.1,6.9,18.5,56.3,61.9,35.5,101.04
Davon Reed,DEN,DEN vs. LAL,04/10/2022,L,30,107.7,136.5,-28.8,21.1,1.33,23.5,0.0,15.0,5.7,17.6,70.0,61.8,17.3,104.31
Theo Pinson,DAL,DAL vs. SAS,04/10/2022,W,13,132.0,148.1,-16.1,28.6,1.00,20.0,0.0,11.1,5.3,20.0,140.0,136.1,27.6,95.75
Sam Hauser,BOS,BOS @ MEM,04/10/2022,W,10,140.0,138.9,1.1,12.5,0.00,20.0,0.0,18.2,8.3,0.0,62.5,62.5,14.8,96.34
Keldon Johnson,SAS,SAS @ DAL,04/10/2022,L,34,123.2,136.2,-13.0,13.6,0.00,12.0,0.0,20.0,9.8,0.0,44.7,54.3,29.3,98.87
Naz Reid,MIN,MIN vs. CHI,04/10/2022,L,21,84.4,120.0,-35.6,0.0,0.00,0.0,7.7,21.4,12.5,16.7,70.0,70.0,24.5,101.17
